SUA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
2010,28748,3832,384,195,33160,840,191,1035,34198,1913,45,36155,62802,7188,660,534,71186,814,189,1004,72181,1584,76,73845,15450,1490,1462,145,18544,198,30,226,18774,327,11,19114,934,135,16,735,1818,39,10,49,1874,89,69,2031,107929,12644,2522,1615,124712,1896,420,2308,127024,3914,199,131139,1890,330,21,40,2281,373,23,400,2682,172,4,2851,3517,520,29,41,4116,310,105,415,4531,143,11,4688,5410,853,50,90,6398,683,133,812,7213,316,15,7542,113337,13496,2571,1697,131109,2579,547,3129,134235,4229,217,138674,60061,9692,1407,1585,72743,2883,554,3438,76177,9391,219,85789,328,84,6,300,714,21,3,24,743,75,626,1442,173726,23269,3987,3584,204567,5485,1101,6587,211153,13684,1058,225903,37716,5023,360,262,43367,1105,272,1375,44739,2558,46,47349,70761,7642,654,619,79673,1034,201,1229,80904,2101,94,83099,2650,360,512,36,3558,39,7,40,3600,126,6,3729,770,138,14,744,1658,36,13,46,1712,109,70,1882,111898,13155,1539,1666,128258,2210,488,2697
2011,462,38,3,0,500,10,3,12,515,50,0,561,848,82,10,8,945,15,0,14,960,28,6,995,212,20,26,0,254,0,0,0,261,3,0,263,19,0,0,12,37,3,0,3,35,4,0,40,1541,132,43,26,1738,24,4,33,1770,84,3,1864,37,5,0,3,40,17,0,16,60,3,0,63,73,15,0,0,82,8,0,7,95,0,0,94,112,15,0,3,128,22,3,28,150,4,0,159,1651,150,38,24,1870,45,9,59,1928,91,3,2021,1112,169,27,34,1341,81,22,100,1445,186,4,1642,5,0,0,3,10,0,0,0,10,0,11,21,2768,316,69,64,3220,131,32,157,3383,274,23,3677,522,31,3,3,560,21,3,24,583,45,0,636,810,90,12,9,923,16,5,14,937,47,3,987,46,9,4,0,58,0,0,0,57,5,0,63,11,0,0,8,25,0,0,0,27,4,0,31,1388,132,17,24,1561,34,8,48
2012,200,38,3,0,237,6,3,12,253,7,0,263,656,67,10,4,737,18,4,20,757,12,0,770,147,20,13,4,180,3,0,3,180,4,0,184,11,0,0,15,28,0,0,0,28,0,0,30,1009,123,29,26,1183,28,6,34,1215,26,0,1243,9,0,0,0,10,4,3,7,15,3,0,22,21,3,0,0,30,3,0,10,31,5,0,39,32,3,0,3,38,10,3,16,52,9,0,58,1043,130,29,24,1224,38,7,48,1272,34,0,1302,522,76,17,31,643,53,17,68,709,120,0,830,3,0,0,0,3,0,0,0,8,0,16,18,1572,205,43,56,1867,95,23,113,1979,157,20,2156,356,45,7,0,409,8,3,17,422,16,0,444,812,84,16,12,921,14,0,16,934,24,0,957,26,4,9,0,37,0,0,0,41,3,0,42,9,0,0,9,21,0,0,0,21,3,0,26,1204,134,29,21,1390,24,5,30
2013,24,3,4,0,36,0,0,0,34,0,0,37,178,25,0,0,210,5,3,10,217,6,0,230,42,0,5,0,53,6,0,6,57,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,252,34,11,0,296,12,3,13,309,15,0,326,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,3,0,3,13,0,0,17,8,3,0,0,12,3,0,3,17,0,0,19,261,35,7,0,309,18,3,18,326,11,3,343,120,32,3,4,163,18,0,18,177,35,0,210,0,0,0,0,0,0,0,0,0,0,3,3,382,67,16,4,468,30,3,35,500,46,3,551,54,9,0,0,66,0,0,0,64,4,0,70,206,27,0,0,230,8,3,14,243,15,0,261,9,0,0,0,15,0,0,0,15,3,0,17,0,0,0,0,4,0,0,0,4,0,0,4,274,28,3,3,316,14,3,15
2014,23,0,0,0,23,0,0,0,23,3,0,22,130,16,0,0,145,3,0,3,151,0,0,150,27,4,9,0,40,0,0,0,40,0,0,40,0,0,0,4,4,0,0,0,4,0,0,4,180,20,9,4,209,3,0,3,213,3,0,222,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,0,5,4,0,0,0,4,0,0,0,3,3,0,3,180,20,9,4,214,7,0,7,216,4,0,224,120,22,3,7,156,14,3,13,166,8,0,181,0,0,0,0,0,0,0,0,0,3,7,9,301,46,12,11,372,14,3,21,386,21,7,408,42,4,0,0,52,3,0,3,57,9,0,62,156,26,0,0,179,0,0,0,179,8,0,180,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,4,0,0,0,4,0,0,4,203,27,3,6,242,3,0,3
2015,49,7,0,0,56,3,0,3,60,0,0,62,196,20,5,0,225,3,3,9,232,6,0,233,49,6,4,0,66,0,0,0,66,0,0,66,10,0,0,3,14,0,0,0,14,0,0,14,297,40,10,6,353,8,4,11,362,8,0,371,0,3,0,0,3,0,0,0,4,0,0,4,10,3,0,0,18,0,0,0,19,3,0,18,14,3,0,0,18,3,0,3,21,3,0,20,315,41,11,6,370,9,4,15,388,6,0,397,223,20,11,6,261,11,0,11,270,16,0,290,3,0,0,0,4,0,0,0,4,0,3,5,538,66,20,9,634,21,4,24,662,28,7,692,80,15,4,3,101,0,0,0,98,3,0,100,233,15,6,0,256,7,3,10,262,10,0,277,12,4,0,0,17,0,0,0,17,0,0,17,3,0,0,3,5,0,0,0,5,0,0,5,328,36,11,3,378,7,4,8
2016,250,31,9,0,290,4,3,3,293,23,0,320,594,86,17,7,702,14,0,14,717,19,0,736,138,5,17,0,158,3,0,4,163,4,0,166,3,3,0,6,17,0,0,0,14,0,0,15,986,125,38,20,1162,24,5,26,1188,41,0,1237,16,0,0,0,16,3,3,6,19,0,0,25,24,0,0,0,24,0,0,0,24,0,0,24,38,0,0,0,43,3,3,6,43,0,0,47,1024,131,38,19,1206,27,8,33,1238,46,0,1282,542,122,14,22,704,45,16,60,761,257,5,1021,11,0,0,7,17,0,0,0,17,4,14,34,1573,251,52,47,1922,68,18,89,2013,301,22,2337,397,48,4,0,450,9,0,11,456,29,0,490,739,83,9,7,831,8,0,13,844,31,0,872,28,6,6,0,43,3,4,3,46,3,0,51,7,3,0,13,16,0,0,0,16,3,0,23,1167,135,21,18,1343,20,3,24
2017,62,6,0,0,70,0,0,0,72,4,0,76,168,16,0,0,177,0,0,0,178,4,0,182,45,0,9,0,54,0,0,0,54,4,0,60,4,3,0,0,7,0,0,0,7,0,0,4,276,22,9,0,308,0,0,0,314,11,0,326,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,7,0,0,11,5,0,0,0,5,0,0,0,10,0,0,11,283,22,9,0,315,4,0,4,322,14,0,335,142,8,3,4,161,7,0,7,165,23,0,189,3,0,0,0,3,0,0,0,3,0,3,6,422,36,12,7,479,7,0,7,487,32,3,521,67,13,0,0,80,4,0,4,86,6,0,90,168,14,0,3,186,0,0,0,184,3,0,188,3,0,0,0,8,0,0,0,8,0,0,8,3,0,0,3,8,0,0,0,8,0,0,7,237,33,3,7,279,4,0,6
2018,144,22,0,0,163,6,3,4,170,17,0,188,544,56,5,4,611,13,0,13,622,16,0,641,126,13,8,3,157,4,0,4,157,0,0,157,8,0,0,8,16,0,0,0,16,0,0,16,822,92,21,11,943,25,3,24,968,31,0,1004,4,0,0,0,9,0,0,3,9,0,0,12,17,3,0,0,21,3,0,3,25,0,0,27,25,3,0,0,34,4,3,11,36,3,0,40,852,93,22,11,979,31,4,32,1007,30,0,1040,389,45,8,19,459,38,9,53,513,100,0,611,3,0,0,0,3,0,0,0,3,3,0,7,1241,142,25,32,1435,67,14,83,1524,134,3,1656,227,31,0,0,266,7,7,8,276,23,0,299,617,56,6,9,695,17,3,18,711,16,0,729,40,7,7,0,55,0,0,0,55,0,0,55,8,0,0,3,12,0,0,0,12,0,0,19,899,99,16,16,1037,22,7,27
2019,75,8,0,0,86,0,0,0,86,7,0,90,260,34,8,3,301,0,0,0,301,4,0,306,57,3,10,0,69,0,0,0,64,0,0,69,7,0,0,8,16,0,0,0,16,0,0,16,394,47,16,6,467,3,0,3,470,15,0,487,0,3,0,0,3,0,0,0,3,0,0,3,6,0,0,0,7,0,0,0,10,0,0,10,12,4,0,0,17,0,0,0,18,0,0,18,403,50,18,13,483,3,0,3,489,15,0,503,179,23,8,0,206,5,0,7,212,32,0,246,3,0,0,0,3,0,0,0,3,0,5,8,585,71,26,11,694,13,0,9,701,47,5,751,128,8,3,0,142,0,0,0,142,8,0,150,331,45,3,6,387,3,3,3,394,11,0,406,7,0,3,0,15,0,0,0,15,0,0,15,0,0,0,3,3,0,0,0,3,0,0,3,468,52,12,11,545,3,3,3
2020,105,12,0,0,123,0,3,3,128,11,0,137,573,51,12,4,644,0,0,0,646,8,0,662,131,14,9,4,160,0,0,0,160,0,0,164,4,0,0,3,9,0,0,0,9,3,0,9,822,84,24,10,939,0,3,8,946,24,0,971,8,0,0,0,10,0,0,0,10,3,0,11,27,0,0,0,23,0,0,0,26,0,0,25,32,0,0,0,35,0,0,0,33,3,0,41,857,86,24,10,978,0,3,4,985,26,0,1012,498,53,16,12,574,6,7,14,587,42,0,635,3,0,0,3,9,0,0,0,9,3,0,8,1358,137,41,28,1557,8,6,22,1580,73,0,1655,246,39,0,3,288,0,3,3,295,28,0,326,639,71,7,3,717,0,0,0,717,27,0,748,35,4,3,0,38,0,0,0,38,3,0,44,8,3,0,9,19,0,0,0,19,0,3,19,924,113,11,13,1068,0,4,3
2021,100,21,0,0,122,3,0,3,133,16,0,150,575,57,11,6,643,0,0,0,644,19,0,659,119,14,15,0,142,8,3,7,152,0,0,152,4,0,0,3,8,0,0,0,8,0,0,8,797,95,18,8,923,10,5,14,942,33,0,971,6,0,0,0,6,3,0,3,5,3,0,15,9,0,3,0,17,0,0,0,17,0,0,17,18,0,3,0,23,3,0,3,22,3,0,28,820,95,23,8,942,9,5,17,959,39,0,1000,348,43,15,9,417,14,3,14,426,33,3,465,0,0,0,3,0,0,0,0,0,0,0,0,1173,133,35,21,1358,20,5,31,1393,70,3,1462,214,54,0,3,266,0,3,3,271,19,0,285,688,76,14,3,783,5,0,5,783,17,0,801,30,0,0,0,29,4,0,3,38,0,0,37,8,0,0,3,16,0,0,0,16,0,0,16,940,125,12,15,1093,7,3,11
