SUA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
2000,4,33,16,142,90,94,120,83,27,597,0,8,24,79,123,315,651,413,151,1756,0,10,13,19,9,9,12,0,0,71,0,6,30,47,5,0,0,3,0,93,0,0,3,33,15,16,11,3,3,82,4,16,59,166,74,43,17,6,0,380,0,0,8,15,42,162,249,75,10,555,0,5,5,20,21,14,26,3,0,86,0,0,13,51,13,5,5,4,5,96,0,3,10,62,0,0,0,0,0,76,4,16,19,99,130,399,851,368,105,1985,27,172,286,1034,841,845,563,167,39,3965,0,7,7,38,48,68,104,47,9,318,5,9,5,44,6,4,0,0,3,74,0,3,6,31,38,22,7,3,0,110,42,132,95,313,72,32,8,3,0,689,0,4,3,41,15,43,63,22,21,216,3,14,13,113,149,330,458,205,56,1342,0,12,13,28,26,13,6,3,0,105,3,35,49,158,136,87,99,33,0,591
2001,0,0,0,3,0,6,5,0,0,25,0,0,0,3,0,16,22,6,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,3,0,0,0,8,0,0,0,9,5,20,12,3,3,54,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,19,3,3,45,0,10,13,46,26,24,19,7,0,135,0,0,0,0,3,0,7,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,9,0,0,4,10,9,16,24,5,3,68,0,0,3,3,3,0,0,0,0,10,0,5,4,11,8,8,3,0,0,37
2002,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,9,17,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17,0,35,0,0,0,16,15,18,3,3,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,14,3,0,0,0,0,29,0,0,0,0,0,4,4,0,3,8,0,0,0,3,3,0,12,8,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,3,0,0,12
2003,0,5,5,20,9,4,12,10,3,66,0,0,0,4,9,20,28,24,11,98,0,0,0,9,3,0,0,4,0,19,0,4,3,10,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,6,0,11,12,32,11,13,3,8,0,85,0,0,0,0,3,15,8,3,0,32,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,13,3,0,0,4,10,45,104,75,8,238,3,31,33,106,73,52,40,16,3,362,0,0,0,0,6,5,9,9,0,35,0,4,3,25,3,0,0,0,0,40,0,0,0,3,8,0,0,0,0,8,9,26,20,76,14,5,0,0,0,151,0,0,0,4,0,0,3,0,8,14,0,3,3,23,26,32,48,25,8,168,0,3,0,7,5,0,0,0,0,23,0,7,14,40,15,15,8,4,0,106
2004,0,7,0,15,8,7,14,6,3,67,0,0,3,3,9,11,19,17,12,67,0,0,5,0,0,0,0,0,0,8,0,7,9,15,0,0,0,0,0,24,0,0,0,3,0,3,0,0,0,11,0,3,11,30,15,11,3,0,0,80,0,0,0,0,0,5,8,3,0,17,0,0,0,7,3,0,0,0,0,11,0,8,31,114,34,20,6,9,0,221,0,3,0,14,0,0,0,0,0,20,0,0,0,3,3,22,33,20,10,95,0,15,33,109,62,47,24,11,4,309,0,0,0,3,6,5,9,0,0,24,0,3,3,21,0,0,0,0,0,31,0,0,0,4,6,0,0,0,0,17,3,17,22,46,9,10,5,0,0,110,0,0,0,0,0,0,0,3,3,7,0,0,3,18,13,25,31,27,5,118,0,0,3,5,3,3,3,0,0,18,0,6,25,32,24,12,8,0,0,114
2005,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,14,8,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,4,10,4,0,24,0,6,10,20,8,6,4,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2006,0,0,0,9,3,6,4,0,3,28,0,0,0,3,0,3,9,6,3,24,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,16,5,3,26,0,6,14,31,17,16,12,4,0,100,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,12,3,0,0,0,0,22,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,10,9,6,3,36,0,0,0,4,0,0,0,0,0,4,3,5,3,3,3,7,3,0,0,21
2007,3,29,14,90,48,46,36,27,17,304,0,4,15,52,75,143,245,202,104,844,0,9,5,21,10,4,0,0,0,47,3,14,20,35,0,6,0,0,0,81,0,3,3,25,14,13,6,3,0,66,3,11,39,105,36,36,14,9,0,248,0,0,0,4,6,49,74,28,0,157,0,3,7,19,12,3,3,0,0,48,3,6,38,76,20,12,11,0,0,176,0,0,7,40,0,0,0,0,0,55,0,9,9,23,31,131,293,148,66,704,19,75,129,451,220,191,109,43,5,1237,0,4,3,21,28,45,49,34,12,197,10,40,48,133,15,5,5,0,0,255,0,3,0,17,13,9,0,0,0,42,3,53,103,156,71,32,11,3,0,435,0,0,3,35,18,43,31,22,23,178,0,15,16,86,117,161,175,106,28,717,0,13,19,24,30,13,19,0,0,120,4,30,37,133,64,50,27,16,5,356
2008,0,0,0,13,7,4,4,4,0,32,0,0,0,0,6,19,23,14,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,0,0,0,0,13,0,0,0,3,0,20,24,7,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,17,3,0,32,3,10,7,40,31,18,10,6,0,123,0,0,0,3,3,3,6,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,7,9,17,19,4,3,69,0,0,0,3,3,0,0,0,0,11,0,3,3,15,10,8,4,3,0,38
2009,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,7,5,7,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,6,3,0,12,0,3,3,14,3,8,3,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,11,4,12,3,0,0,0,0,36,0,0,0,0,0,3,3,0,0,7,0,0,0,3,3,4,4,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11
