SUA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
2000,113,320,531,551,693,685,181,48,3120,203,479,514,423,364,178,14,4,2190,2512,5970,7103,9827,10029,8133,3253,916,47756,1711,3612,3322,3559,3890,2590,1233,297,20222,893,2146,2956,3243,2600,1455,545,145,13978,175,630,771,1024,1348,754,294,82,5075,133,684,1017,1145,2100,1887,559,105,7633,600,1600,2230,2519,2692,2002,570,169,12391,557,851,1195,1530,1824,1438,434,72,7903,288,502,570,485,557,439,112,32,2981,494,1101,1224,1229,1017,649,236,69,6013,39,33,18,48,46,86,66,25,358,97,274,432,476,507,378,135,50,2345,4736,4128,4750,5886,6103,5788,3673,1467,36524,12552,22319,26625,31962,33765,26465,11317,3481,168482,158,461,795,556,528,248,60,31,2837,25,110,219,239,223,103,3,3,937,123,351,526,542,424,320,213,105,2603,52,201,264,220,154,77,20,4,1000,526,1121,1314,1033,633,245,77,26,4965,1175,3887,4303,5716,6341,3949,1561,494,27424,649,2683,3394,3686,5167,3878,1211,320,20995,1289,4238
2001,0,15,17,18,18,14,7,0,87,14,33,50,23,13,6,0,0,141,81,233,266,340,274,206,64,15,1476,97,195,124,97,73,42,22,8,653,3,38,31,22,11,13,3,3,134,3,18,16,23,23,7,6,0,107,5,33,26,31,43,30,12,3,198,24,102,113,120,94,50,11,0,516,39,44,43,45,34,28,3,3,249,12,31,15,15,9,7,4,0,98,17,39,30,22,21,18,0,0,144,0,0,0,0,3,0,3,0,12,5,13,22,12,9,10,5,0,71,101,83,94,100,92,90,47,26,637,402,878,856,883,732,523,190,64,4522,6,25,41,18,6,3,0,0,94,0,9,24,16,5,0,0,0,53,11,17,18,16,8,5,4,3,77,9,11,13,4,0,0,0,0,34,6,32,26,12,3,4,0,0,77,40,128,135,137,103,74,19,8,643,31,146,146,121,113,69,29,7,663,61,215
2002,0,8,3,3,3,10,4,4,39,5,19,4,6,3,3,0,0,45,67,159,120,165,154,150,88,21,924,33,93,77,70,65,41,36,5,416,6,30,25,27,27,21,8,4,151,4,21,21,24,29,10,8,0,125,4,18,11,16,34,41,14,3,133,24,51,53,31,55,38,17,4,276,6,14,29,27,33,26,5,0,145,8,8,10,3,4,5,3,0,34,9,41,37,24,19,12,4,0,149,3,0,0,0,3,3,0,0,12,0,11,10,10,6,8,3,0,58,117,111,88,88,107,133,99,51,788,290,580,482,495,553,509,286,105,3299,4,7,12,5,9,0,0,3,42,0,3,4,5,3,0,0,0,19,0,8,3,11,10,7,7,6,48,0,6,3,5,0,0,0,0,16,3,15,7,14,3,0,0,0,44,43,117,92,125,128,101,57,23,688,13,60,66,66,87,76,33,14,420,43,108
2003,39,79,109,88,83,75,17,4,490,83,352,241,129,72,32,0,0,913,340,946,846,1019,927,760,363,106,5301,343,754,499,406,356,238,124,39,2768,55,147,123,133,91,74,47,14,690,80,279,261,246,250,131,52,15,1314,52,234,238,222,321,295,102,24,1483,221,587,669,637,458,247,93,14,2932,152,296,310,268,239,179,66,9,1518,169,173,141,101,85,60,14,3,739,110,254,204,147,111,60,34,10,932,8,10,4,8,4,11,3,3,52,14,50,81,82,50,41,17,7,348,566,500,464,452,435,486,354,175,3428,2246,4660,4181,3934,3491,2674,1302,422,22905,53,117,114,75,49,16,9,0,441,9,53,52,33,31,4,0,0,192,23,70,72,62,34,23,46,19,354,18,42,34,25,14,9,0,0,147,34,72,64,58,23,4,3,0,254,289,982,802,853,791,477,221,78,4494,172,626,649,591,636,473,210,63,3417,398,1010
2004,25,71,73,84,61,56,17,3,393,88,260,172,99,57,23,3,0,709,362,1014,863,990,977,761,363,111,5449,326,717,461,433,399,267,142,38,2780,64,146,160,171,142,76,35,13,805,95,257,230,227,215,101,38,9,1164,71,210,209,177,259,258,117,28,1327,159,516,562,441,379,216,64,16,2358,173,258,276,255,244,145,54,5,1415,74,138,93,49,62,43,21,3,483,89,249,167,143,99,60,31,6,845,10,3,9,0,3,15,4,0,45,10,41,72,64,54,33,25,8,309,561,485,431,486,507,472,391,228,3559,2096,4369,3778,3616,3458,2534,1298,479,21632,36,91,118,47,52,21,9,4,381,14,36,48,38,33,14,4,0,191,17,71,65,88,58,39,22,14,365,21,35,45,19,17,4,0,4,143,24,77,81,44,34,7,3,0,269,349,996,782,770,846,473,217,75,4514,150,596,586,518,556,403,148,66,3023,292,909
2005,0,3,4,3,4,3,0,0,19,6,16,10,3,3,5,0,0,40,53,129,128,112,141,84,43,12,701,46,76,45,48,53,38,15,5,315,10,32,26,29,21,9,5,0,136,8,17,20,21,18,8,0,0,87,0,17,11,7,38,28,17,3,120,21,43,65,33,36,24,4,7,232,18,19,19,29,32,9,5,3,124,6,20,7,4,0,3,0,0,46,18,34,33,33,17,12,4,0,145,0,0,3,0,0,0,0,0,5,0,5,8,8,3,3,3,0,39,68,80,56,69,54,79,58,31,495,254,483,433,403,428,293,154,63,2517,0,11,10,3,7,0,0,3,30,0,0,3,0,3,0,0,0,5,6,16,3,4,9,0,3,3,40,3,0,3,5,3,3,0,0,13,13,8,12,3,0,3,0,0,37,31,80,55,76,73,50,37,9,418,19,57,49,45,66,49,20,3,304,41,94
2006,0,7,6,5,8,6,3,4,47,14,19,8,9,3,0,0,0,54,76,206,228,251,236,233,123,24,1375,51,139,99,118,124,72,27,16,639,16,55,60,58,35,29,14,0,263,6,40,36,26,31,12,7,3,158,6,31,36,37,51,47,13,0,217,13,56,95,89,76,55,21,6,410,8,32,38,26,33,25,10,0,191,3,10,12,3,0,4,3,0,42,30,57,36,54,35,25,9,3,257,0,0,0,0,0,0,0,0,0,0,7,13,10,3,7,4,3,40,99,82,105,112,122,151,133,64,866,320,743,773,796,761,679,371,125,4575,0,9,24,10,9,3,3,0,62,0,7,5,3,3,0,0,0,18,3,11,4,8,15,8,9,9,68,4,8,7,3,0,0,0,0,23,9,15,20,7,7,3,0,0,54,48,158,149,152,170,88,56,20,834,19,125,138,95,102,72,40,11,605,40,167
2007,160,268,355,282,315,244,86,18,1727,200,559,501,295,185,67,3,4,1824,863,2461,2591,3005,2966,2419,1151,389,15844,838,2139,1608,1257,1066,682,370,126,8087,100,306,384,325,236,181,104,29,1674,171,686,631,582,530,245,95,45,2985,84,438,519,472,715,626,254,64,3176,443,1458,1654,1505,1261,796,260,70,7443,478,760,726,712,604,445,163,37,3919,262,453,396,207,181,108,37,6,1640,259,608,455,359,243,144,91,22,2189,23,15,16,13,17,16,18,7,114,53,143,213,183,153,86,37,17,884,1344,1463,1385,1349,1185,1150,884,472,9220,5273,11763,11437,10530,9658,7200,3551,1306,60716,196,398,458,279,178,86,23,5,1632,33,131,140,95,61,30,0,0,489,87,249,239,194,132,109,107,54,1172,90,229,173,125,63,19,5,0,706,77,142,179,128,71,24,10,11,645,732,2484,2156,2037,1957,1100,553,204,11220,295,1486,1561,1447,1765,1226,471,134,8376,785,2472
2008,6,16,26,30,42,34,10,0,163,9,14,35,24,16,15,0,0,120,62,197,333,363,366,273,104,27,1715,66,167,142,153,78,46,21,0,685,8,27,44,33,20,16,14,3,159,12,28,30,45,33,26,3,0,165,6,20,47,46,74,68,19,3,289,26,68,188,187,142,94,28,9,736,22,31,51,74,61,37,13,0,299,23,22,25,29,13,14,0,0,134,18,20,28,30,19,11,3,0,138,0,0,0,0,0,0,0,0,0,5,12,24,25,15,7,6,0,78,81,49,101,110,86,78,54,20,574,340,664,1083,1149,981,711,273,62,5263,6,27,54,42,23,20,0,0,170,0,0,18,21,7,0,0,0,48,3,15,31,28,15,5,3,3,99,3,8,14,15,8,5,0,0,57,15,14,29,21,9,7,3,0,91,39,124,207,194,146,101,31,7,858,26,116,168,194,191,121,35,11,857,48,171
2009,0,11,9,10,9,7,0,0,49,10,22,7,7,3,0,0,0,52,76,190,131,147,148,90,44,15,852,64,98,57,82,73,49,19,7,441,20,53,54,63,49,41,17,9,297,9,33,25,40,39,15,5,0,166,7,32,22,26,43,32,19,3,188,13,73,88,64,64,32,11,6,356,22,41,32,30,36,12,10,0,193,3,4,14,9,0,0,4,0,34,13,54,38,31,18,7,4,0,173,3,0,3,3,0,0,0,0,8,3,13,10,8,6,0,0,0,39,74,86,64,79,68,82,66,38,562,323,714,561,591,564,378,197,77,3408,10,12,24,8,10,3,0,0,60,0,8,0,5,0,5,0,0,22,3,8,4,0,10,3,3,4,35,6,4,3,3,0,0,0,0,17,10,15,18,5,3,3,0,0,57,51,177,129,135,167,83,42,22,815,26,96,69,66,88,66,32,13,462,64,152
