SUA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
2010,5195,115581,10562,131334,7601,143593,12447,163639,19818,301936,28160,349913,26911,255918,21639,304468,34311,221534,18870,274722,31762,172523,15396,219682,19011,122975,13599,155579,9711,64602,10810,85128,2912,24113,5329,32353,157231,1422779,136813,1716829,5981,111504,9738,127227,9608,139544,11231,160384,30067,304335,26391,360791,43265,250146,19492,312904,56517,215789,17780,290080,52767,168196,15796,236763,28525,129330,15747,173605,11514,79001,14322,104837,2222,42544,9775,54543,240463,1440382,140278,1821126,11174,227081,20302,258561,17206,283135,23682,324024,49881,606266,54549,710699,70175,506066,41129,617372,90829,437330,36649,564806,84532,340718,31189,456448,47535,252305,29350,329185,21220,143610,25135,189963,5133,66660,15108,86899,397697,2863160,277091,3537956
2011,102,1603,201,1909,100,1697,153,1955,330,3785,407,4520,472,3439,347,4263,416,2711,301,3437,366,2380,279,3028,256,1724,233,2207,90,514,125,733,10,151,25,191,2148,18006,2081,22233,122,1499,176,1793,176,1660,174,2007,634,4000,413,5042,759,3216,328,4301,720,2576,283,3587,700,2474,282,3453,340,1598,279,2215,66,596,146,808,13,282,59,350,3530,17888,2141,23553,220,3098,378,3700,274,3358,330,3965,966,7778,820,9565,1231,6657,676,8557,1141,5292,588,7016,1065,4856,565,6479,598,3319,512,4430,159,1113,270,1541,19,433,88,541,5675,35893,4220,45789
2012,77,1387,247,1713,68,1222,172,1459,189,2456,351,2994,291,2218,265,2773,371,2452,336,3159,432,2423,355,3210,286,1922,365,2578,133,934,257,1325,40,332,104,472,1892,15350,2448,19686,86,1268,203,1563,122,1228,166,1519,356,2464,318,3134,498,2236,262,2987,699,2391,292,3377,659,2260,327,3247,410,1863,384,2653,180,1167,338,1675,20,609,162,795,3029,15488,2448,20954,168,2655,450,3271,187,2455,333,2975,544,4920,665,6132,793,4446,524,5758,1067,4837,630,6536,1091,4684,682,6454,700,3789,748,5239,309,2103,589,3002,64,945,262,1275,4920,30837,4889,40649
2013,23,434,78,532,33,464,51,552,80,734,84,898,110,686,66,859,110,813,108,1033,154,897,105,1153,111,701,117,932,45,374,91,510,12,133,40,185,670,5237,739,6650,25,378,61,460,56,451,54,555,118,793,81,986,194,635,61,891,234,795,83,1106,256,827,113,1194,149,705,125,977,63,464,107,632,4,279,67,354,1102,5318,750,7166,46,811,140,990,86,917,98,1104,196,1523,162,1882,303,1318,130,1754,343,1602,191,2145,412,1727,216,2350,259,1404,246,1906,112,836,196,1141,17,421,99,537,1774,10558,1488,13818
2014,22,291,46,353,17,245,36,305,39,409,47,493,61,482,52,597,102,611,74,789,103,616,80,792,62,483,80,621,32,218,72,331,5,94,23,122,451,3455,504,4404,8,265,46,319,16,221,27,265,71,423,37,539,107,494,52,655,129,569,58,751,194,591,85,872,71,435,83,594,23,265,86,378,4,169,44,217,633,3426,518,4582,36,552,93,678,41,468,62,572,106,841,86,1034,169,974,106,1249,231,1171,134,1542,297,1202,166,1667,132,915,160,1209,58,488,156,704,12,258,64,333,1084,6876,1027,8988
2015,25,397,56,472,21,361,36,423,49,756,84,882,79,674,81,837,101,688,76,871,122,666,75,864,84,534,70,691,39,283,70,395,14,119,22,159,538,4477,580,5595,33,351,46,427,30,316,36,385,115,775,78,966,131,716,58,903,203,743,92,1036,237,666,93,997,112,564,76,755,47,349,93,490,6,238,46,297,914,4719,622,6250,52,752,97,901,56,681,74,808,159,1527,156,1845,209,1386,142,1743,308,1429,165,1906,365,1329,164,1860,195,1096,152,1439,87,636,167,885,20,359,71,448,1452,9198,1199,11842
2016,82,1463,188,1730,85,1226,145,1455,237,2569,328,3131,287,2345,287,2920,364,2437,336,3138,387,2133,295,2816,246,1675,338,2255,125,907,237,1265,36,317,86,434,1849,15063,2244,19150,103,1350,182,1639,115,1233,129,1477,389,2599,312,3296,530,2301,279,3106,605,2386,283,3271,664,2079,292,3032,367,1695,352,2423,141,1050,297,1482,28,559,188,780,2938,15249,2311,20494,184,2814,372,3374,194,2461,279,2934,630,5165,638,6431,816,4643,563,6027,973,4819,612,6404,1048,4210,587,5844,615,3370,690,4677,265,1958,529,2751,60,873,274,1210,4788,30315,4553,39647
2017,15,277,51,346,23,276,41,344,46,581,81,710,65,470,85,616,94,486,78,654,88,448,75,609,55,349,91,491,39,227,66,329,17,89,32,139,439,3202,607,4248,16,272,66,354,20,277,31,333,82,551,74,704,109,455,77,643,121,466,72,667,154,418,76,647,96,364,94,550,47,330,88,463,6,188,49,243,653,3319,626,4602,31,549,117,702,43,558,75,676,133,1131,157,1414,174,922,160,1257,214,953,154,1320,244,869,146,1255,150,716,181,1049,85,558,152,792,20,273,83,385,1088,6524,1238,8849
2018,43,1019,150,1213,78,1066,134,1274,194,2139,232,2559,216,1852,197,2268,316,1984,251,2551,308,1932,285,2527,202,1458,248,1906,116,739,224,1076,24,271,91,388,1501,12458,1803,15764,49,952,134,1133,108,1114,122,1344,303,2255,276,2827,376,1859,213,2445,552,1862,259,2670,542,1846,251,2639,295,1533,278,2108,120,962,307,1393,12,496,178,679,2347,12877,2022,17251,94,1970,289,2348,186,2180,256,2615,496,4390,507,5390,594,3713,406,4712,867,3850,505,5228,847,3777,536,5166,497,2989,523,4014,233,1703,534,2473,36,770,263,1068,3849,25337,3828,33011
2019,20,456,65,542,19,415,42,470,72,803,68,945,108,813,90,1016,159,888,87,1127,162,861,105,1122,94,756,92,950,57,448,106,603,13,168,110,288,706,5595,763,7060,33,449,74,554,51,392,43,487,142,825,59,1031,202,852,60,1120,254,884,90,1237,316,881,102,1293,178,836,146,1162,76,595,169,843,11,338,215,570,1264,6061,967,8290,51,898,138,1094,71,810,81,959,215,1630,128,1977,311,1662,158,2132,414,1775,179,2366,477,1737,204,2415,272,1594,243,2110,129,1043,272,1446,27,505,323,856,1963,11657,1725,15346
2020,56,953,109,1120,47,837,80,961,125,1693,145,1963,192,1482,145,1817,257,1736,172,2166,288,1659,170,2111,221,1500,201,1923,108,784,169,1065,23,195,75,295,1313,10842,1258,13415,48,932,97,1080,71,796,71,935,237,1727,120,2086,351,1552,161,2062,504,1757,178,2443,524,1642,193,2359,326,1549,236,2114,110,812,206,1130,33,387,127,542,2205,11149,1391,14752,108,1886,210,2197,119,1632,155,1898,362,3418,265,4050,543,3032,299,3874,763,3498,346,4605,811,3293,362,4471,550,3052,438,4033,225,1598,374,2198,53,581,205,835,3520,21996,2648,28164
2021,33,987,116,1139,48,1006,112,1169,127,1743,142,2011,185,1572,144,1892,258,1662,184,2106,302,1549,174,2027,191,1244,200,1631,83,623,144,846,32,248,62,343,1256,10636,1268,13165,47,957,116,1119,81,914,80,1072,212,1739,146,2099,311,1626,147,2079,501,1740,172,2409,529,1562,186,2278,275,1285,251,1809,101,815,246,1165,23,479,141,633,2076,11112,1476,14664,87,1949,225,2263,129,1922,190,2240,343,3485,286,4110,488,3197,288,3977,758,3399,359,4521,830,3107,359,4307,463,2532,448,3436,184,1436,390,2009,52,726,200,978,3334,21750,2747,27830
