SUA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
2000,5,10,15,13,7,96,1980,149,25,37,0,7,10,4,6,14,26,289,23,0,3,0,0,0,0,0,0,7,32,1837,122,111,17,15,21,19,19,17,128,2302,24,0,0,0,0,0,0,0,0,136,159,11762,458,336,56,50,50,45,45,31,680,13501,12428,146,108,14,13,16,7,13,9,532,13278,2227,27,21,3,7,3,3,7,0,78,2364,239,7,16,0,0,9,3,4,3,25,307,43,0,0,0,0,0,0,0,0,6,47,2501,35,35,3,6,7,10,8,5,105,2718,44,0,0,0,0,0,0,0,0,58,106,14971,181,138,15,19,24,18,24,13,694,16102,5518,49,30,3,3,5,4,3,0,246,5867,1510,9,3,3,0,0,0,0,0,59,1590,280,0,6,4,0,0,0,0,0,23,318,37,0,0,0,0,0,0,0,0,3,38,1829,8,9,7,0,0,3,0,0,90,1946,34,0,0,0,0,0
2001,0,0,0,0,5,3,114,6,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,102,8,3,0,0,0,0,4,6,3,128,0,0,0,0,0,0,0,0,0,0,0,414,15,14,0,5,3,3,4,6,7,471,369,4,8,0,0,5,0,0,0,10,396,80,0,0,0,0,0,0,0,3,5,91,7,0,0,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,4,0,0,3,5,107,3,0,0,0,0,0,0,0,0,0,4,461,4,9,0,0,9,0,0,3,17,504,136,0,0,0,0,0,0,0,0,11,153,47,0,0,0,0,0,0,0,0,3,48,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0
2002,0,0,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,3,3,0,0,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,185,15,7,0,3,3,3,0,0,7,219,207,5,0,0,0,0,0,0,0,12,223,35,0,0,0,0,0,0,0,0,3,40,4,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,0,3,43,4,0,0,0,0,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,0,255,6,4,0,0,0,0,0,0,15,282,169,0,0,0,0,0,0,0,0,6,184,36,0,0,0,0,0,0,0,0,3,39,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,3,50,4,0,0,0,0,0
2003,0,0,0,0,0,3,251,14,5,14,6,3,9,6,0,3,6,58,0,0,0,0,0,0,0,0,0,0,0,204,33,35,7,3,6,6,0,3,19,312,4,0,0,0,0,0,0,0,0,0,4,1038,64,62,4,3,19,10,4,5,54,1270,1108,15,9,3,4,0,0,3,0,40,1177,178,3,3,3,0,3,0,0,3,3,201,15,0,9,0,0,0,0,0,0,4,37,3,0,0,0,0,0,0,0,0,0,3,193,3,13,3,0,4,5,0,3,14,237,10,0,0,0,0,0,0,0,0,0,12,1316,16,21,6,9,8,5,7,3,55,1430,602,13,3,3,0,0,0,0,0,26,651,174,0,0,0,0,0,0,3,0,6,183,30,3,0,0,0,0,0,0,0,4,40,3,0,0,0,0,0,0,0,0,0,3,211,0,5,0,0,0,0,3,0,12,229,8,0,0,0,0,0
2004,0,3,3,6,3,3,162,6,3,18,3,7,11,6,12,3,9,72,0,0,0,0,0,0,0,0,0,0,0,123,26,25,5,7,19,7,12,6,8,240,0,0,0,0,0,0,0,0,0,0,3,747,54,51,5,8,23,12,16,8,33,953,776,14,13,0,0,0,0,0,0,31,831,99,3,6,0,0,0,0,0,3,3,113,11,0,5,0,0,3,4,3,3,5,37,0,0,0,0,0,0,0,0,0,0,0,102,3,12,3,0,3,4,3,4,11,149,3,0,0,0,0,0,0,0,0,4,8,882,18,21,3,0,7,4,3,4,47,984,367,8,3,0,0,0,0,0,0,22,396,72,3,0,0,0,0,0,0,0,9,84,10,0,4,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,84,3,4,0,0,3,0,0,0,8,116,3,0,0,0,0,0
2005,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,89,7,3,0,3,0,0,0,0,12,117,77,3,3,0,0,0,0,0,0,4,92,23,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,100,3,4,0,0,0,0,0,0,8,121,74,0,0,0,0,0,0,0,0,0,81,13,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0
2006,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,3,0,4,30,0,0,0,0,0,0,0,0,0,0,0,168,3,16,5,0,0,0,4,0,9,205,250,0,5,0,0,0,0,0,0,17,278,21,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,275,0,5,0,0,0,0,3,0,17,306,155,4,0,0,0,0,0,0,0,9,171,20,0,0,0,0,0,0,0,0,5,25,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,5,30,3,0,0,0,0,0
2007,4,8,3,9,5,40,1509,185,37,44,11,10,13,16,18,19,26,376,8,0,0,0,0,0,0,0,0,3,15,1501,115,90,10,14,29,17,24,26,73,1901,11,0,0,0,0,0,0,0,0,17,25,5109,233,173,19,26,44,25,27,26,192,5876,4171,37,41,9,14,8,3,6,3,107,4397,1518,6,12,0,0,0,3,7,0,40,1581,379,14,14,5,3,9,6,7,3,10,463,30,0,0,0,0,0,0,0,0,4,32,1925,19,29,4,3,13,10,15,8,49,2072,13,0,0,0,0,0,0,0,0,6,23,6108,57,68,14,20,22,16,19,6,167,6495,2125,31,12,0,0,3,0,3,0,81,2259,1164,3,5,0,0,3,0,0,0,63,1237,505,4,6,0,0,0,3,3,0,40,563,33,0,0,0,0,0,0,0,0,3,37,1694,10,10,3,0,3,3,3,0,104,1836,18,0,0,0,0,0
2008,0,0,0,0,0,4,84,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,4,89,3,0,0,0,0,0,0,0,0,0,3,459,22,9,0,0,0,0,0,3,19,514,417,10,0,0,3,0,0,0,0,6,432,88,0,4,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,88,0,4,0,0,0,0,0,0,6,98,3,0,0,0,0,0,0,0,0,0,3,507,11,4,0,3,0,0,0,0,11,536,172,3,3,0,0,0,0,0,0,9,187,38,0,0,0,0,0,0,0,0,0,38,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,0
2009,0,0,0,0,0,0,30,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,3,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,114,8,10,0,0,0,0,0,0,0,128,112,0,0,0,0,0,0,0,0,5,118,27,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,138,0,4,0,0,0,0,0,3,5,151,65,0,0,0,0,0,0,0,0,0,71,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
