SUA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
2000,39,3,0,37,53,5,0,0,68,6,0,6,72,9,0,77,2572,333,79,58,3049,28,9,42,3085,184,4,3272,360,49,18,13,449,13,5,15,469,124,0,588,6,0,0,3,10,0,0,0,10,0,7,25,2947,384,104,78,3507,43,13,56,3566,304,18,3886,306,31,0,6,339,6,0,6,346,27,0,373,329,58,9,4,402,3,3,5,410,36,0,440,9,0,5,0,16,0,0,0,16,5,0,22,11,0,0,4,13,0,0,0,13,0,0,13,649,93,21,14,779,10,3,10,790,64,0,853,0,0,0,0,3,0,0,0,3,0,0,3,13,0,0,0,10,0,0,0,10,0,0,13,14,0,0,0,17,0,0,0,17,0,0,14,666,91,21,14,789,10,3,10,800,66,0,870,80,19,5,5,116,3,0,3,117,48,0,169,3,0,0,0,3,0,0,0,3,0,0,4,747,109,21,22
2001,7,0,0,7,6,0,0,0,7,0,0,0,7,0,0,12,139,13,4,0,158,0,0,0,163,3,0,165,22,5,0,3,31,0,0,0,36,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,161,21,0,7,190,3,0,3,197,6,0,203,31,0,0,0,34,0,0,0,30,0,0,35,24,0,0,0,24,0,0,0,24,3,0,25,4,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,63,0,0,0,58,7,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,63,0,0,0,58,3,0,67,3,0,0,3,10,0,0,0,10,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,61,4,0,3
2002,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,31,6,0,0,40,0,0,0,40,8,0,48,8,0,0,0,12,0,0,0,12,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,51,0,0,0,51,15,0,60,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2003,9,0,0,9,5,0,0,0,5,3,0,4,10,0,0,9,458,56,7,9,523,7,0,7,532,23,0,561,72,15,5,0,95,3,0,3,94,26,0,127,0,0,0,0,0,0,0,0,0,0,0,0,527,72,13,9,613,10,0,10,628,51,3,686,69,13,3,0,82,0,3,3,85,13,3,99,81,21,3,0,101,0,0,0,101,6,0,109,4,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,153,29,10,3,192,0,3,3,199,17,3,218,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,154,29,10,3,199,0,3,3,202,17,3,227,22,3,0,0,27,0,0,0,30,10,0,37,0,0,0,0,0,0,0,0,0,0,0,0,177,39,10,3
2004,3,0,0,5,10,0,0,0,8,0,0,0,6,0,0,9,389,71,11,9,476,7,0,7,481,31,0,518,58,13,0,0,71,4,0,3,74,36,0,110,3,0,0,0,3,0,0,0,3,0,0,4,449,77,11,13,551,11,0,14,558,69,3,626,58,10,0,0,72,0,0,0,69,0,0,69,60,18,3,0,75,0,0,0,75,5,0,84,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,122,25,5,0,149,0,0,3,153,4,0,160,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,120,26,5,0,152,3,0,4,155,3,0,158,14,7,0,3,24,0,0,3,28,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,136,26,5,4
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,46,0,3,3,44,0,0,50,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,48,0,3,3,49,0,0,54,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2006,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,88,8,3,0,94,0,0,0,94,3,0,102,5,3,0,0,4,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,86,11,3,0,102,0,0,0,102,10,0,114,7,0,0,0,7,0,0,0,7,0,0,7,7,3,0,0,8,0,0,0,8,0,0,14,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,18,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,18,0,0,0,18,0,0,14,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,5,3,0
2007,36,0,0,34,39,5,3,0,51,7,3,9,63,3,0,65,1473,204,44,27,1746,29,6,33,1784,85,5,1871,227,41,8,9,289,7,0,8,294,81,0,379,0,0,0,0,4,0,0,0,4,0,3,5,1707,244,48,33,2039,42,7,44,2081,171,10,2260,242,30,8,0,280,5,0,4,282,32,0,313,318,57,3,0,373,0,0,3,373,24,0,400,8,0,9,4,29,0,0,0,29,3,0,30,3,0,0,3,9,0,0,0,9,0,0,9,581,82,19,11,689,8,0,5,700,54,3,752,8,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,10,4,0,4,15,0,0,15,14,3,0,0,19,4,0,4,20,0,0,20,590,88,19,8,712,8,0,7,720,54,3,774,87,20,4,0,121,4,3,7,132,49,0,178,0,0,0,0,0,0,0,0,0,0,0,3,678,111,28,9
2008,6,3,0,3,5,0,0,0,5,0,0,0,5,4,0,8,191,22,3,4,224,5,0,9,226,12,0,241,26,7,0,0,31,0,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,216,30,3,4,253,6,0,9,259,14,0,276,37,0,0,0,39,3,0,6,46,0,0,49,35,3,0,0,36,0,0,0,37,0,0,34,0,0,3,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,76,6,3,0,84,3,0,5,82,4,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,77,6,3,0,83,3,0,5,89,4,0,91,14,5,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,94,6,3,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,3,0,47,0,0,0,47,0,0,46,5,3,0,0,12,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,42,12,3,0,56,0,0,0,56,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
