SUA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
2000,0,0,0,4,42,67,57,50,7,225,0,9,11,106,27,36,27,15,6,247,3,3,39,162,3,3,0,0,0,215,14,44,48,71,19,10,3,0,0,204,0,0,0,14,21,24,31,10,0,108,0,3,3,40,40,14,22,3,0,131,12,43,44,115,94,121,150,30,9,611,3,22,32,157,81,42,12,0,0,353,0,4,3,39,43,72,69,42,6,286,0,9,8,28,27,30,10,0,0,110,20,95,147,578,425,492,595,385,108,2845,1140,2693,2636,6005,4908,5712,5008,2611,986,31707,18430,42938,37164,68103,48576,54607,46732,21903,7026,345471,0,0,3,7,0,0,0,0,0,7,16020,37185,29366,56848,39571,41728,31795,16136,7958,276617,0,0,0,19,0,0,0,0,0,34,0,0,0,10,4,6,3,8,3,35,0,4,16,49,16,12,0,0,0,105,7,21,18,145,76,73,29,18,3,382,0,0,0,27,23,15,20,3,3,89
2001,0,0,0,0,4,0,3,0,3,10,3,0,0,3,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,0,15,0,0,3,8,3,0,0,0,0,15,0,0,0,3,3,0,7,0,0,9,0,0,5,3,0,0,0,0,0,6,3,6,4,35,25,18,16,13,3,122,23,59,58,159,92,90,80,39,18,620,750,1423,1316,2565,1373,1139,914,348,116,9944,0,0,0,0,0,0,0,0,0,0,615,1331,1128,2252,1107,904,648,284,145,8403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,7,0,0,0,6,4,0,0,0,0,9
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,3,8,6,3,0,0,0,19,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,7,0,17,6,9,9,10,0,66,36,59,79,176,83,91,109,67,30,742,438,861,815,1544,773,877,878,532,183,6905,0,0,0,0,0,0,0,0,0,0,416,767,708,1254,796,785,708,446,262,6141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
2003,0,0,0,0,0,3,6,9,0,21,0,7,3,35,7,4,5,0,0,62,0,0,3,23,0,0,0,0,0,21,0,6,13,10,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,13,0,20,9,30,13,20,18,0,0,118,3,0,7,17,7,3,0,0,0,37,0,0,0,6,0,6,8,9,4,41,0,0,3,10,0,3,3,0,0,21,7,42,64,130,53,45,25,35,15,423,181,283,413,802,441,395,413,233,94,3253,3392,6409,7024,12155,5950,5514,4406,2315,786,47944,0,0,0,0,0,0,0,0,0,0,2924,5621,6123,10697,5517,5132,3875,2270,1247,43407,0,3,3,19,0,0,0,0,0,26,0,0,0,0,0,3,3,0,0,8,0,3,0,0,0,0,0,0,0,9,0,0,3,23,9,5,3,0,0,43,0,0,0,3,0,0,3,0,0,10
2004,0,0,0,0,3,0,3,3,0,8,0,15,6,30,14,11,6,3,3,84,0,0,0,16,0,0,0,0,0,17,11,73,65,28,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,6,4,16,12,16,14,0,0,65,0,6,4,18,4,0,0,0,0,33,0,4,3,3,3,5,3,0,0,25,0,3,3,3,4,0,0,0,0,13,3,23,46,70,35,36,33,21,3,265,176,346,375,793,463,453,383,249,117,3347,3157,6213,6414,11353,5513,5384,4192,2352,886,45463,0,6,5,14,0,0,0,0,0,28,2798,5187,5816,10155,5051,5047,3791,2289,1294,41426,0,3,0,15,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,3,7,20,6,3,3,0,0,49,0,0,0,3,0,0,0,0,0,5
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,39,17,4,3,3,3,79,19,28,50,98,58,63,63,46,17,438,394,781,757,1445,724,747,612,380,154,5995,0,0,0,0,0,0,0,0,0,0,336,640,631,1103,686,718,575,418,243,5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,5,0,3,0,7,5,3,8,7,0,42,36,70,57,165,95,125,150,78,34,809,579,1261,1086,2070,1217,1295,1332,741,226,9816,0,0,0,0,0,0,0,0,0,0,528,1140,965,1936,1144,1182,1085,654,311,8935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,15,48,57,64,59,8,248,3,8,45,98,25,20,13,5,0,224,0,4,6,11,4,0,0,0,0,29,7,86,65,42,6,3,0,0,0,210,0,3,4,29,58,96,80,52,7,320,0,3,4,26,29,11,8,4,0,86,13,39,32,99,55,44,45,5,4,338,4,13,43,113,61,34,8,5,0,279,0,6,3,40,26,19,34,15,4,147,0,10,3,47,10,10,3,0,0,83,30,115,190,464,191,269,255,221,102,1841,363,699,857,1845,1095,1062,958,591,272,7744,8040,15554,16075,30818,15298,14383,11474,6063,2361,120081,4,29,60,87,28,8,5,0,0,224,6940,13197,13211,25285,12836,11697,8499,4674,2691,99027,0,3,4,26,3,0,0,0,0,42,0,0,13,50,65,45,27,21,3,222,0,0,0,13,7,12,0,0,0,35,5,19,20,89,37,21,7,7,3,208,0,0,0,9,9,10,6,0,0,32
2008,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,3,9,8,3,8,5,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,10,3,0,0,20,0,0,0,0,0,0,0,0,0,8,0,3,3,25,19,17,18,17,3,98,33,60,42,136,98,87,79,43,19,598,693,1646,1184,2166,1506,1288,1026,393,112,10017,0,0,0,0,0,0,0,0,0,0,607,1360,1020,2041,1242,977,701,226,104,8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,3,0,0,0,0,0,3
2009,0,0,0,0,0,0,0,5,0,5,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,5,9,4,4,4,3,0,36,21,41,43,132,75,65,59,47,15,493,555,1061,964,1811,964,989,773,500,183,7806,0,0,0,0,0,0,0,0,0,0,453,898,877,1683,903,958,733,537,302,7332,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
