SUA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
2000,2004,3283,2975,4277,4837,9110,5407,22614,1039,55538,2406,4031,6034,6839,6449,7354,3988,6171,449,43703,1687,3049,2982,3784,8672,11433,4895,7220,841,44563,2030,6167,5508,6238,4155,3314,1681,2075,618,31792,1424,4423,4900,5079,6204,4479,1760,1899,340,30499,1003,7115,3680,3472,3230,2248,1338,1723,449,24258,1010,1147,1245,1473,3538,3867,2665,5128,435,20506,1793,8507,4584,4892,5933,5764,2774,3531,943,38728,468,380,298,324,531,628,222,564,1798,5201,13820,38090,32199,36374,43541,48206,24740,50921,6901,294791
2001,27,33,37,49,142,228,147,345,11,1035,64,130,167,188,268,288,167,200,10,1472,47,58,75,101,288,457,217,287,27,1536,40,195,165,185,161,158,57,91,16,1072,61,128,158,196,340,275,95,89,16,1359,38,317,117,96,94,84,50,72,10,878,27,25,51,64,178,197,112,265,20,937,24,216,89,84,111,145,81,71,21,849,3,8,6,5,16,36,13,18,50,168,324,1110,872,972,1602,1862,937,1440,190,9307
2002,14,40,33,58,80,135,68,195,11,628,50,74,106,136,165,149,78,124,7,894,25,37,50,64,220,196,98,168,16,867,51,113,145,179,114,64,37,37,14,747,44,87,86,110,148,94,32,42,7,651,34,185,95,91,88,76,46,55,8,680,13,17,30,34,64,48,47,105,8,360,44,152,104,152,139,81,59,46,18,803,11,12,6,11,4,5,8,3,38,99,285,718,658,831,1012,857,471,775,120,5729
2003,129,188,197,316,728,915,689,1443,46,4643,430,800,1080,1339,1675,1806,1036,1347,77,9591,149,372,311,481,1460,1764,783,915,92,6324,304,1261,930,1054,767,538,280,311,95,5536,227,656,764,869,1412,848,394,307,51,5520,210,1536,686,585,637,429,255,296,76,4721,82,138,146,185,450,427,336,491,36,2290,176,1113,602,600,811,493,339,304,89,4533,35,57,35,60,94,86,42,65,203,680,1741,6126,4752,5482,8033,7305,4156,5479,772,43841
2004,132,150,210,328,687,813,644,1234,51,4247,448,648,929,1258,1685,1583,856,1114,59,8571,185,324,303,449,1412,1495,763,894,90,5916,309,1097,834,1056,737,575,264,287,68,5219,235,609,673,817,1367,734,378,295,56,5169,178,1496,679,561,632,353,254,254,58,4467,83,158,133,182,488,453,323,493,56,2379,205,1178,606,627,1012,649,358,285,85,5005,36,67,50,53,82,74,28,53,178,616,1814,5725,4404,5330,8101,6715,3870,4923,710,41593
2005,23,24,18,36,78,104,80,177,9,546,24,35,80,81,126,104,82,83,5,626,26,54,44,51,192,156,111,108,10,756,22,145,103,160,148,48,20,44,12,695,20,82,81,78,126,65,34,30,4,528,23,183,75,74,95,42,28,27,10,562,12,21,16,23,73,57,59,132,7,416,38,188,136,180,244,135,79,59,28,1083,4,11,10,8,11,7,8,4,45,106,205,747,566,688,1089,721,500,657,128,5312
2006,43,50,53,63,153,225,155,428,6,1174,58,105,167,197,245,281,152,194,9,1421,40,53,61,100,301,338,192,225,23,1334,71,194,177,227,190,131,69,70,14,1149,32,127,123,156,228,128,52,66,12,921,62,291,141,156,132,105,66,88,15,1050,23,30,37,45,88,96,82,133,16,549,46,249,117,149,218,129,92,112,25,1145,9,9,3,5,10,6,8,9,64,121,395,1100,890,1095,1579,1443,861,1323,186,8863
2007,406,521,604,850,1800,2607,1701,3718,118,12338,1072,2131,2826,3137,4126,4725,2470,3312,182,23962,470,972,921,1278,3535,4630,1990,2453,252,16507,698,3075,2432,2621,1913,1667,765,833,226,14213,574,1714,2015,1955,3192,2170,910,858,132,13517,447,3678,1817,1518,1471,1068,570,808,156,11537,237,436,430,466,1281,1370,781,1197,118,6315,399,2878,1437,1402,1759,1583,535,836,222,11048,98,160,93,144,234,285,76,168,546,1799,4399,15566,12579,13355,19304,20103,9798,14167,1958,111234
2008,39,55,84,85,138,320,210,523,16,1468,119,225,287,330,346,439,208,374,23,2354,41,83,75,112,299,412,197,314,24,1550,51,248,186,172,111,142,88,75,14,1101,50,183,228,207,286,219,108,118,16,1415,34,251,120,97,103,76,53,75,10,818,9,31,34,28,64,92,53,103,7,416,29,182,76,56,71,92,43,53,9,613,6,14,8,13,9,17,4,16,37,123,384,1268,1096,1091,1426,1824,968,1652,155,9860
2009,27,45,39,80,143,199,128,258,17,936,63,83,148,192,260,277,143,179,10,1351,32,64,57,77,269,263,150,138,13,1069,61,151,133,184,123,107,37,54,21,877,32,104,127,135,249,138,59,52,13,896,42,229,128,119,164,100,60,49,6,901,25,38,22,20,87,61,58,104,11,427,29,244,108,104,129,82,30,50,21,806,4,8,0,8,21,16,0,6,38,96,312,974,760,922,1438,1253,670,897,147,7364
