SUA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
2000,2483,494,4999,27,33,184,339,572,108,1268,41,65,219,169,195,22,702,49,47,346,428,493,70,1431,19,25,176,226,503,97,1042,349,253,1692,890,1084,189,4464,40,64,381,529,966,199,2182,422,432,1535,1704,1819,236,6158,1512,2130,6202,2179,2209,369,14600,1297,1826,7205,6027,7688,1283,25320,91,69,412,343,496,88,1506,76,72,338,651,1781,144,3064,78,92,441,481,785,536,2417,4538,5744,23694,19288,28743,5461,87474,408,387,3172,3931,10585,1761,20238,35,14,185,146,1127,65,1582,275,180,1638,1762,8913,836,13599,117,66,459,445,1864,121,3077,76,88,845,1241,15351,849,18450,80,56,458,550,2078,217,3441,152,172,1544,1829,6333,912,10946,179,144,1211,1618,4529,743,8422,80,93,494,898,3934,543,6045,79,82,418,316,594,61,1556,138,93,672,717,682,97,2401,37,41,308,404,1040,145,1967,788,441,3615,1653,1981,335,8814,81,107,626,843,2249,358,4268,754,711,2584,3392,4571,495,12503,2222
2001,49,4,90,0,0,11,22,40,4,75,0,0,10,3,3,0,23,4,0,19,22,33,3,78,0,0,12,13,14,3,41,17,6,46,49,46,5,169,3,0,16,15,47,9,87,13,13,68,68,90,10,264,58,69,237,87,100,15,570,38,51,203,165,204,23,689,3,0,10,12,20,3,43,6,0,8,25,66,7,111,3,0,8,22,22,13,65,148,161,745,631,910,112,2714,4,3,20,18,43,0,85,0,0,0,7,31,3,50,12,9,63,64,254,11,409,3,0,7,6,52,3,82,3,4,34,47,629,28,757,11,3,26,26,81,8,155,10,5,52,73,186,13,341,7,0,22,36,98,11,166,3,7,28,61,260,26,381,9,3,20,16,24,3,71,6,0,42,43,44,3,141,0,0,12,19,35,6,78,38,18,122,93,89,7,364,3,3,32,16,84,10,145,23,25,116,127,192,20,492,97
2002,69,12,114,0,0,0,6,8,0,18,0,0,6,5,3,0,12,0,3,5,10,11,0,22,0,0,3,5,7,0,14,0,0,15,22,22,0,67,0,3,3,17,30,9,55,6,4,37,30,35,4,117,11,42,132,53,63,9,304,28,48,154,155,201,27,606,4,0,5,4,10,0,25,0,0,4,26,53,3,87,0,0,5,4,11,8,33,60,98,435,419,693,108,1817,0,0,19,14,52,18,107,0,0,0,3,27,0,29,7,0,31,19,195,20,273,3,3,17,4,37,6,64,0,0,19,21,304,13,359,4,0,7,12,56,4,88,7,5,42,50,200,37,331,0,0,6,46,118,19,189,0,3,6,10,77,6,102,0,0,6,9,14,0,27,0,3,8,14,15,0,35,0,0,3,10,21,4,36,4,3,59,38,51,3,162,0,3,3,24,50,13,91,13,13,63,60,66,7,217,25
2003,416,37,754,3,7,26,30,84,6,159,12,13,78,36,66,6,207,13,12,69,68,80,4,247,5,0,28,37,78,12,164,60,47,335,129,177,20,768,3,15,62,57,125,27,297,74,90,300,244,284,35,1027,412,406,1188,369,401,43,2814,386,452,1723,908,1132,145,4743,17,12,81,46,95,13,263,6,12,60,113,294,12,506,20,7,59,43,76,54,260,1097,1146,4631,2661,4217,541,14280,13,8,82,53,154,17,325,20,10,61,23,112,3,223,66,29,372,265,1193,86,2015,16,17,59,63,143,12,297,27,29,165,225,2248,77,2769,15,0,72,91,286,15,487,74,45,421,376,1089,128,2132,46,18,251,248,778,64,1400,19,19,97,119,434,53,743,34,23,173,120,239,16,599,28,25,154,170,116,14,499,11,8,76,75,180,23,377,192,93,877,300,337,37,1841,7,25,116,115,263,35,567,140,163,550,499,624,64,2036,711
2004,340,39,615,5,0,26,24,47,9,108,3,5,45,17,42,3,120,23,22,185,93,168,30,520,3,3,27,21,74,5,135,33,36,266,100,144,11,595,10,17,50,70,181,20,346,73,77,287,215,235,17,903,235,367,1041,304,323,51,2317,376,399,1531,895,1284,150,4644,7,11,46,32,77,11,183,12,17,58,130,304,18,542,6,8,59,47,89,59,270,836,1016,4185,2432,4318,549,13336,8,3,74,46,228,32,394,15,6,76,34,297,5,439,44,31,298,256,1223,80,1934,18,14,86,69,193,6,388,9,15,144,181,2243,74,2669,6,5,43,52,203,21,330,35,26,389,320,1131,115,2016,17,12,188,194,636,67,1108,13,9,80,89,385,54,630,5,18,107,61,143,10,343,53,53,399,214,261,45,1026,4,7,62,49,169,13,300,84,85,676,244,268,30,1389,13,17,92,115,375,46,656,140,125,483,451,607,47,1864,394
2005,49,5,77,0,0,0,4,11,0,17,0,0,7,10,0,0,23,0,0,3,12,12,0,25,0,0,0,4,13,3,23,3,0,14,12,26,3,58,0,0,0,12,29,3,37,7,3,18,38,58,5,135,12,28,103,37,41,3,222,17,17,106,108,194,41,482,0,0,3,5,10,0,23,0,0,4,15,37,0,57,0,0,0,3,21,10,38,43,54,314,326,631,102,1466,0,0,8,25,79,11,132,0,0,0,0,11,0,8,5,4,39,46,331,41,462,0,0,0,3,30,0,40,0,0,3,16,219,10,249,0,0,3,5,44,3,58,3,0,31,36,122,11,201,0,3,8,26,87,13,134,0,0,7,7,83,10,102,0,0,14,10,18,4,51,0,0,4,21,15,0,45,0,0,3,5,13,3,29,4,4,42,20,38,9,116,0,0,4,11,56,5,82,11,6,42,64,90,8,218,16
2006,136,17,249,0,0,7,4,16,3,28,0,0,3,6,4,0,13,0,0,6,20,13,3,53,0,0,0,3,19,3,31,8,3,42,20,18,3,94,0,0,14,14,26,8,61,6,11,41,35,56,3,159,33,55,228,61,50,5,428,36,70,257,185,247,31,832,0,3,9,8,17,5,44,3,0,13,36,82,3,136,6,3,14,18,19,20,79,100,159,754,543,940,146,2648,0,4,40,29,86,11,182,0,0,3,3,14,0,21,13,13,74,65,391,24,574,7,0,13,4,42,0,57,0,0,18,37,477,19,555,0,0,18,9,72,6,103,3,4,50,63,253,33,403,5,7,69,79,265,39,457,0,0,15,18,93,17,138,0,0,7,9,8,6,30,3,3,25,43,19,6,89,0,0,9,4,36,7,54,11,3,88,44,46,8,205,0,0,12,19,64,7,102,15,16,77,72,125,5,315,41
2007,891,109,1811,10,9,96,97,165,21,399,26,30,131,78,63,14,350,55,78,433,285,308,31,1194,17,13,119,116,230,27,521,219,133,915,440,413,49,2154,34,37,205,255,395,57,982,180,206,848,639,668,71,2608,922,862,2972,981,789,121,6649,825,938,4053,2208,2936,386,11350,35,28,178,113,161,24,536,42,41,203,363,759,41,1454,48,24,195,173,252,177,863,2640,2579,12202,7594,10345,1399,36762,26,25,151,137,309,44,698,4,6,44,36,132,9,234,226,81,983,794,2924,193,5195,74,29,233,191,419,42,988,73,52,663,754,6136,235,7912,45,32,356,256,662,76,1428,170,112,1494,1299,2589,285,5946,94,36,692,651,1714,166,3353,89,33,376,446,1301,135,2381,54,57,321,188,227,28,883,169,140,922,543,465,67,2311,22,21,239,202,466,54,1013,612,253,2335,978,870,120,5161,76,59,390,435,859,84,1917,380,344,1512,1264,1584,148,5231,1645
2008,36,3,106,0,7,20,45,29,0,101,3,6,15,3,7,0,37,10,4,50,49,31,4,144,0,0,6,3,20,3,35,38,14,102,51,38,4,249,3,4,31,24,30,3,93,26,24,103,75,53,9,293,82,105,317,84,86,13,688,61,95,276,149,167,34,779,6,4,21,8,12,0,57,5,0,25,28,61,3,129,3,10,32,16,22,12,98,254,296,1146,680,759,125,3267,0,5,21,18,29,9,79,3,0,3,0,8,0,13,31,9,95,84,229,19,461,3,7,28,5,38,0,77,3,6,69,65,734,29,902,8,10,46,37,56,3,160,7,4,63,80,151,10,325,10,3,49,33,77,6,182,18,22,74,140,188,19,455,6,6,34,16,25,6,95,15,17,107,66,49,14,273,3,3,21,16,52,5,103,79,35,271,101,90,8,593,6,7,50,38,70,9,186,53,45,173,170,143,12,595,142
2009,58,5,104,0,0,4,10,8,0,21,0,0,11,8,8,0,29,0,0,6,24,19,3,61,0,0,3,10,20,0,31,11,3,40,24,31,8,108,3,4,11,16,38,6,76,10,8,52,41,46,3,164,26,62,163,48,52,6,359,50,65,274,182,234,25,821,0,0,9,8,20,0,43,0,0,8,26,67,3,111,3,3,8,10,13,13,49,106,148,659,510,798,97,2314,9,0,28,36,87,13,167,0,0,3,0,21,0,25,0,0,14,19,117,4,157,14,3,20,24,58,3,120,0,0,14,26,409,14,461,6,0,19,20,86,9,143,5,5,40,62,229,16,361,3,3,12,35,117,12,180,3,0,9,20,100,8,144,0,0,18,12,23,0,56,0,0,19,36,31,6,92,0,0,4,16,33,5,54,16,8,74,26,56,7,190,3,4,15,21,62,14,115,29,16,87,82,123,11,346,32
