SUA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
2000,13,88,0,85,..,669,49,714,7,725,..,353,28,383,4,390,..,74,27,100,3,99,..,135,31,166,0,167,..,132,33,167,0,169,..,203,88,290,3,299,..,1890,435,2323,69,2394,..,11127,1726,12851,239,13096,..,877,72,952,29313,30263,302117,12004,1799,13801,29552,345471,303213,..,..,..,..,303213,..,175,0,175,0,175,..,212,48,259,10,269,..,72,4,79,0,77,..,191,76,265,0,264,..,688,352,1042,11,1058,..,54,42,98,0,98,..,940,468,1404,12,1415,..,213,21,229,3,238,..,601,9,609,9,618,..,419,11,435,7,442,..,997,26,1024,13,1045,..,536,79,620,9,629,..,32,4,36,0,36,..,140,15,155,0,158,..,256,54,306,0,305,..,70,3,74,3,76,..,41,17,58,0,60,..,97,9,104,3,100,..,630,98,729,11,734,..,1757,251,2013,42,2050,..,183,22,208,0,206,..,70,18,88
2001,0,4,0,4,..,14,0,15,0,15,..,32,0,30,0,30,..,7,0,7,0,7,..,6,0,6,0,6,..,3,0,3,0,3,..,18,0,20,0,25,..,88,24,107,0,107,..,586,55,639,9,650,..,10,0,18,532,545,8747,597,58,654,537,9944,9190,..,..,..,..,9190,..,15,0,15,0,15,..,11,0,13,0,16,..,0,0,0,0,0,..,7,0,7,0,7,..,13,5,19,0,20,..,0,0,0,0,0,..,21,5,29,0,31,..,20,6,27,0,29,..,22,0,20,0,20,..,12,0,13,0,13,..,33,0,38,0,38,..,32,3,37,0,36,..,0,0,0,0,0,..,19,0,19,0,19,..,33,8,39,0,39,..,0,0,4,0,4,..,7,0,7,0,7,..,5,3,9,0,9,..,67,13,83,0,83,..,46,6,53,0,53,..,0,0,4,0,4,..,0,0,0
2002,0,5,0,5,..,30,0,29,0,29,..,5,0,5,0,5,..,6,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,9,9,24,0,24,..,26,5,37,3,37,..,239,37,273,6,279,..,18,0,18,620,644,5982,254,37,293,629,6905,6697,..,..,..,..,6697,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,17,20,34,0,36,..,3,3,4,0,4,..,28,17,45,0,49,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,27,0,24,3,28,..,0,0,0,0,3,..,0,0,0,0,0,..,10,0,17,0,17,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,7,0,7,0,7,..,30,0,30,0,30,..,46,3,50,3,53,..,0,0,0,0,0,..,6,0,6
2003,0,15,0,15,..,142,5,151,0,153,..,49,3,49,0,49,..,39,3,41,0,41,..,26,11,32,0,32,..,14,0,14,0,14,..,38,8,45,0,45,..,450,98,549,20,561,..,2272,345,2614,35,2647,..,134,4,144,2787,2934,42361,2408,346,2754,2823,47944,45984,..,..,..,..,45984,..,27,0,27,0,27,..,60,4,61,0,61,..,7,0,7,0,10,..,68,24,88,0,89,..,327,93,427,4,426,..,34,5,41,0,41,..,430,122,555,3,554,..,54,7,65,0,61,..,92,0,94,3,98,..,64,3,63,0,64,..,95,8,99,0,99,..,51,9,67,4,66,..,29,4,31,0,31,..,98,8,110,0,110,..,90,22,110,0,114,..,38,4,42,0,38,..,35,9,42,0,42,..,50,3,51,0,51,..,336,48,389,3,388,..,93,13,106,0,110,..,75,9,88,0,88,..,22,3,26
2004,0,7,0,7,..,107,4,110,0,112,..,25,3,32,0,32,..,28,3,29,0,33,..,13,3,16,0,22,..,6,0,11,0,11,..,36,16,49,0,46,..,554,314,863,12,878,..,1763,465,2235,25,2256,..,104,11,119,2989,3108,40103,1871,482,2348,3013,45463,43153,..,..,..,..,43153,..,31,3,30,0,30,..,61,6,66,0,66,..,4,0,4,0,4,..,56,14,63,0,63,..,172,81,246,0,248,..,10,3,15,0,15,..,229,89,321,3,328,..,10,0,18,0,18,..,27,3,27,3,33,..,43,3,46,0,46,..,56,0,51,0,51,..,47,12,59,0,59,..,28,6,31,0,32,..,77,10,84,0,86,..,75,9,80,0,86,..,50,8,56,0,56,..,35,3,37,0,37,..,57,3,66,0,66,..,311,39,347,0,347,..,73,4,77,4,80,..,24,0,26,0,29,..,24,6,27
2005,0,6,0,6,..,27,0,27,0,27,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,9,0,9,..,106,13,115,5,122,..,274,45,323,6,326,..,11,9,20,359,379,5286,291,49,338,363,5995,5604,..,..,..,..,5604,..,0,0,0,0,0,..,12,3,23,0,23,..,0,0,0,0,0,..,5,0,9,0,9,..,14,13,34,0,34,..,0,0,0,0,0,..,26,21,42,0,42,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9,..,4,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,15,0,15,..,18,9,25,3,32,..,3,0,3,0,3,..,0,0,0
2006,0,0,0,0,..,19,0,25,0,25,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,3,0,3,..,3,0,3,0,3,..,54,13,67,3,68,..,231,39,268,3,273,..,31,0,31,646,681,8863,261,37,301,652,9816,9554,..,..,..,..,9554,..,9,0,9,0,9,..,10,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,22,0,23,0,23,..,3,0,3,0,3,..,26,0,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,10,0,10,..,13,0,13,0,13,..,10,0,11,0,10,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,6,0,6,..,25,0,26,0,26,..,28,4,36,0,36,..,0,3,3,0,3,..,0,0,4
2007,4,67,3,69,..,527,11,535,5,539,..,205,34,242,3,245,..,120,3,125,0,125,..,74,20,97,0,98,..,133,36,170,0,170,..,275,86,357,8,364,..,1993,562,2552,62,2613,..,10379,1689,12072,170,12244,..,302,29,337,7455,7794,100045,10684,1724,12408,7624,120081,107167,..,..,..,..,107167,..,86,0,86,3,86,..,231,60,291,3,296,..,12,0,12,0,12,..,199,26,226,0,221,..,726,192,915,20,932,..,37,15,52,0,52,..,957,233,1194,15,1212,..,891,201,1095,7,1102,..,282,3,285,8,295,..,221,10,231,3,237,..,494,18,513,8,518,..,367,64,427,7,440,..,50,7,65,0,65,..,225,13,235,0,235,..,318,41,354,3,359,..,104,11,116,0,119,..,79,9,89,0,89,..,146,12,161,3,164,..,924,96,1019,9,1031,..,1069,205,1275,21,1291,..,160,9,171,0,171,..,69,14,90
2008,0,0,0,0,..,3,3,4,0,4,..,19,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,42,10,52,3,59,..,391,40,432,9,438,..,26,0,26,497,516,9055,413,40,453,505,10017,9195,..,..,..,..,9195,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,3,3,8,0,8,..,23,14,31,0,31,..,5,0,5,0,5,..,30,18,48,0,48,..,22,4,22,0,22,..,9,0,9,0,9,..,23,0,23,0,23,..,33,0,33,0,36,..,27,0,32,0,29,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,11,0,11,..,66,0,67,0,67,..,5,0,8,0,8,..,3,0,3
2009,0,3,0,3,..,32,3,36,0,36,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,15,0,15,..,0,0,0,0,0,..,69,19,85,0,85,..,283,32,311,3,318,..,16,4,23,419,439,7048,300,35,334,422,7806,7625,..,..,..,..,7625,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,10,3,17,0,17,..,25,6,26,0,26,..,0,0,0,0,0,..,33,6,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,11,0,11,..,6,0,7,0,7,..,4,0,4,0,4,..,7,0,12,0,12,..,6,0,6,0,6,..,5,0,5,0,5,..,3,0,3,0,3,..,14,0,15,0,15,..,43,0,48,0,50,..,40,7,42,0,48,..,6,0,6,0,6,..,8,0,6
