SUA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
2000,46,1300,553,200,1367,0.8,1086,2.4
2001,37,1600,652,270,1708,0.8,1427,2.7
2002,44,1300,559,240,1262,0.7,985,2.3
2003,38,1350,590,250,1490,0.8,1158,2.4
2004,38,1387,609,250,1451,0.8,1176,2.4
2005,42,1270,577,215,1399,0.8,1055,2.3
2006,45,1419,604,250,1431,0.8,1148,2.4
2007,39,1560,617,290,1629,0.8,1288,2.5
2008,41,1950,757,350,2137,0.8,1872,2.8
2009,41,1200,621,200,1412,0.7,1102,2.3
2010,36,1820,674,350,1833,0.9,1547,2.7
2011,33,1500,602,280,1466,0.8,1312,2.8
2012,40,1235,554,211,1336,0.8,1064,2.4
2013,44,1083,484,170,1225,0.8,872,2.2
2014,45,1200,534,200,1345,0.7,1050,2.2
2015,40,1300,605,240,1543,0.7,1162,2.3
2016,38,1300,586,225,1399,0.8,1145,2.5
2017,39,1285,604,200,1407,0.8,1098,2.3
2018,40,1257,567,200,1442,0.7,1097,2.3
2019,44,1300,584,220,1355,0.7,1026,2.3
2020,41,1500,583,260,1460,0.8,1192,2.5
2021,40,1430,619,250,1506,0.8,1184,2.4
