SUA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
2000,345471,343603,689078,18430,17268,35696,42938,40767,83708,20912,19036,39948,16255,14256,30512,30767,31319,62085,37337,38999,76335,48576,49901,98475,54607,54307,108918,46732,44278,91011,21903,22601,44497,7026,10880,17903,317432,318501,635933,28035,25103,53146,4589,4445,9028,213,168,383,124,129,256,4923,4747,9665,279420,276617,556037,34347,35200,69542,302117,303213,605332,13096,13889,26986,303324,303841,607160,3553,3503,7060,38320,36562,74876,14529,14060,28589,2966,3813,6781,4063,9647,13713,89059,116113,205172,47928,46425,94349,62643,50933,113577,28573,22407,50977,20877,17772,38655,1093,920,2013,300214,302491,602706,37647,34213,71860
2001,9944,10407,20345,750,658,1407,1423,1436,2857,692,651,1342,625,582,1208,1233,1293,2530,1332,1454,2787,1373,1423,2802,1139,1235,2377,914,990,1903,348,451,795,116,216,333,9528,10014,19546,414,387,801,128,132,253,3,0,4,0,0,0,129,129,264,8086,8403,16487,1234,1359,2593,8747,9190,17941,650,651,1299,8895,9305,18200,149,132,278,1313,1323,2643,518,495,1013,162,177,339,158,363,514,2973,3835,6804,1346,1327,2678,1715,1447,3165,707,615,1319,408,419,829,28,20,48,9322,9768,19087,478,550,1026
2002,6905,7819,14728,438,469,903,861,857,1717,428,409,838,390,425,822,809,821,1628,732,788,1518,773,987,1767,877,1036,1908,878,971,1851,532,683,1212,183,383,563,6398,7298,13701,508,516,1026,251,267,514,3,3,9,3,0,3,258,274,530,5530,6141,11668,635,788,1426,5982,6697,12682,279,338,619,6021,6766,12792,80,82,166,748,736,1485,292,282,580,54,90,144,92,225,316,1777,2345,4121,851,1009,1860,1200,1179,2381,587,546,1131,402,491,897,31,23,51,6020,6757,12781,715,870,1587
2003,47944,51943,99885,3392,3127,6519,6409,6164,12573,3311,3191,6504,3709,3783,7489,6368,6622,12991,5789,6369,12161,5950,6676,12626,5514,6281,11787,4406,5080,9477,2315,3059,5375,786,1589,2375,45047,49055,94099,2892,2887,5782,626,715,1342,28,40,68,13,16,30,668,772,1443,40137,43407,83542,4556,4961,9516,42361,45984,88346,2647,2805,5452,42881,46570,89451,644,650,1290,5923,5675,11595,2387,2405,4785,1262,1527,2791,1262,2017,3282,16560,20164,36725,5831,6130,11964,7025,6894,13912,3228,3118,6346,2143,2505,4640,139,113,257,43409,46923,90332,3755,4178,7938
2004,45463,48916,94378,3157,3015,6170,6213,5749,11968,3016,3002,6023,3395,3572,6970,6001,6419,12416,5358,5884,11241,5513,6039,11552,5384,6022,11405,4192,4688,8880,2352,2891,5240,886,1632,2515,42769,46463,89225,2700,2450,5155,779,794,1574,28,33,55,14,23,39,825,847,1669,38470,41426,79897,3645,3918,7565,40103,43153,83258,2256,2489,4749,40739,43997,84740,535,510,1045,5601,5221,10826,2131,2216,4353,967,1349,2318,958,1689,2643,14204,17872,32078,5414,5698,11118,7371,7035,14403,3275,3080,6356,2268,2440,4711,236,212,445,41314,44324,85639,3477,4025,7503
2005,5995,6258,12250,394,352,744,781,686,1470,374,345,713,391,363,745,753,678,1432,687,628,1315,724,794,1515,747,860,1606,612,706,1318,380,540,914,154,303,460,5595,5854,11451,397,398,798,67,69,144,5,3,5,3,0,3,73,73,152,5063,5351,10417,484,423,912,5286,5604,10892,326,248,576,5340,5620,10960,72,74,145,721,639,1361,242,247,485,41,65,108,80,153,231,1382,1873,3261,898,868,1769,1055,936,1991,481,449,932,445,459,907,77,57,133,5400,5562,10961,427,491,926
2006,9816,10611,20424,579,575,1157,1261,1234,2497,624,601,1223,460,474,937,1009,1166,2176,1064,1153,2219,1217,1350,2565,1295,1428,2726,1332,1382,2713,741,858,1601,226,393,622,9053,9900,18955,764,709,1471,289,333,624,3,5,8,3,3,9,301,338,641,8328,8935,17264,678,796,1468,8863,9554,18418,273,292,561,8853,9531,18386,96,88,183,1129,1123,2254,446,412,857,63,117,173,115,289,400,2357,3266,5627,1380,1489,2872,1846,1619,3466,942,808,1751,605,622,1224,34,20,51,8705,9402,18109,1060,1118,2178
2007,120081,127382,247459,8040,7466,15507,15554,14846,30400,7795,7552,15347,8284,7907,16188,15369,16036,31402,15448,16268,31719,15298,16730,32028,14383,15858,30243,11474,12862,24339,6063,7644,13708,2361,4203,6564,113104,120794,233900,6971,6581,13561,1133,1203,2331,52,47,96,29,26,50,1212,1267,2477,92986,99027,192016,19344,20046,39391,100045,107167,207214,12244,13009,25251,104189,112264,216454,1587,1430,3022,14322,13668,27988,6036,6024,12051,3091,3423,6513,3105,4948,8050,43991,52205,96195,15454,14838,30291,15847,15649,31501,6835,6970,13809,5182,6226,11407,541,647,1188,108425,115714,224140,8926,9151,18073
2008,10017,10202,20218,693,642,1332,1646,1457,3103,688,642,1334,490,467,961,828,953,1783,1335,1488,2826,1506,1632,3138,1288,1327,2608,1026,1034,2060,393,372,762,112,193,305,9483,9715,19198,535,487,1017,55,50,99,0,6,11,0,0,0,56,52,107,8110,8277,16386,1303,1308,2609,9055,9195,18247,438,470,915,9085,9265,18350,159,136,304,1547,1353,2902,553,530,1088,173,213,386,150,351,499,3796,4663,8460,1327,1181,2510,1283,1044,2326,483,403,880,261,278,538,12,11,17,9268,9451,18718,423,496,920
2009,7806,8448,16250,555,480,1035,1061,974,2035,495,472,961,467,510,980,981,1028,2010,836,954,1788,964,1025,1983,989,1120,2110,773,896,1665,500,647,1144,183,356,543,7212,7910,15120,591,545,1133,112,144,251,9,8,15,3,3,3,120,153,275,6851,7332,14180,464,571,1034,7048,7625,14672,318,376,695,7155,7757,14914,79,81,154,975,892,1867,335,330,665,43,105,148,126,198,325,2127,2715,4841,1267,1319,2588,1179,1211,2390,576,611,1179,483,516,995,16,20,38,7053,7671,14723,593,567,1161
