SUA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
2000,187559,3283,2494,1803,1328,196460,44885,2146,2161,974,344,50506,6631,347,346,214,207,7743,239070,5768,5002,2995,1876,254709
2001,5389,506,22,19,6,5949,721,179,43,8,0,959,145,31,0,0,14,188,6261,715,73,29,17,7099
2002,3902,160,65,14,19,4148,996,145,47,8,3,1201,163,21,3,4,52,237,5058,319,107,24,77,5587
2003,25632,3860,795,87,108,30477,4606,1332,332,14,33,6317,759,172,54,3,28,1018,30992,5362,1185,102,168,37811
2004,25925,2037,341,94,79,28476,4853,999,154,55,32,6097,767,161,37,13,15,992,31549,3199,532,159,125,35561
2005,3086,249,9,24,6,3376,904,229,13,12,3,1160,123,25,0,3,3,156,4120,501,23,42,10,4697
2006,5180,462,118,57,20,5836,1140,287,85,31,6,1540,198,53,12,7,0,267,6517,802,212,87,29,7646
2007,65347,7108,1646,398,212,74712,10958,2486,651,154,43,14291,1811,339,125,27,22,2324,78120,9936,2421,580,279,91328
2008,5648,314,3,15,12,5996,439,93,5,10,3,549,122,11,0,3,0,137,6213,418,4,31,16,6682
2009,4364,223,218,6,14,4829,1085,208,160,3,8,1461,154,19,19,0,3,192,5606,446,392,9,26,6481
2010,880376,219247,194900,4386,3317,1302229,113505,33800,28875,1458,547,178182,24096,7185,7177,352,707,39521,1017976,260225,230952,6200,4571,1519926
2011,14738,1762,43,14,35,16593,2058,544,28,3,4,2640,507,90,4,0,5,603,17307,2395,75,21,46,19836
2012,11937,1033,546,112,69,13703,2849,618,505,102,13,4085,484,84,82,13,16,689,15273,1738,1132,227,101,18471
2013,4322,404,119,8,8,4870,1161,351,130,17,3,1649,185,56,16,0,0,256,5665,806,267,29,13,6781
2014,2947,104,116,21,16,3197,706,70,96,10,4,886,108,10,11,0,0,135,3761,192,225,27,19,4220
2015,3912,256,208,28,9,4412,741,186,101,15,5,1046,125,31,13,0,0,170,4784,471,320,43,10,5624
2016,12219,1230,63,104,23,13646,2590,651,58,103,3,3411,475,121,21,23,6,641,15284,1999,146,237,31,17703
2017,2499,149,211,17,35,2918,708,91,128,14,6,949,115,10,25,0,10,161,3326,259,360,26,54,4026
2018,10840,508,663,50,33,12096,2324,330,403,18,11,3084,366,39,70,4,17,498,13533,882,1132,69,60,15676
2019,4875,591,33,17,11,5523,1235,410,27,11,3,1683,220,58,4,3,3,289,6335,1054,64,28,20,7495
2020,9433,331,426,65,35,10288,1515,211,268,65,4,2059,269,26,28,5,7,334,11215,567,725,130,45,12676
2021,8541,990,329,49,45,9954,1648,494,242,27,8,2420,239,56,76,0,6,379,10419,1542,646,79,62,12751
