SUA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
2000,1027,168,253,294,362,422,289,210,3469,0,6,3,0,3,0,0,3,0,261,273,929,507,1584,314,392,440,482,549,392,589,6173,2330,773,607,117,76,77,56,58,33,194,4332,497,428,745,126,136,113,79,85,66,90,2364,23,28,77,15,26,21,16,21,18,31,270,5,8,3,0,0,0,3,0,0,3,22,525,460,830,138,162,133,94,105,83,116,2651,6,3,3,0,0,0,0,3,0,239,253,2867,1238,1441,259,238,208,150,166,117,546,7237,6199,760,500,68,61,54,43,31,17,349,8083,1032,241,299,52,39,45,30,26,23,70,1858,86,22,54,11,13,7,17,20,17,35,274,11,3,0,0,0,0,0,0,0,8,27,1134,265,353,61,50,51,48,45,43,107,2159,19,3,3,0,0,0,0,0,0,182,205,7344,1034,859,129,114,98,88,79,63,636,10443,9904,338,224,42,35,30,24,21,11,418,11044,1668,94,66,15
2001,68,5,4,5,14,12,6,0,151,0,0,0,0,0,0,0,0,0,0,0,59,39,100,8,14,8,20,14,6,3,256,118,37,44,10,10,4,0,0,3,11,231,39,30,44,3,5,8,7,5,3,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,48,3,5,8,4,5,3,0,146,0,0,0,0,0,0,0,0,0,0,0,161,67,94,10,10,8,6,5,6,8,383,245,38,26,8,0,3,0,0,0,13,334,61,11,23,0,4,0,0,0,0,4,99,5,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,63,12,22,0,4,0,0,0,3,3,115,0,0,0,0,0,0,0,0,0,0,0,312,50,47,4,4,3,0,0,3,20,443,315,9,13,0,0,3,3,0,0,5,348,96,8,3,0
2002,53,0,10,9,21,15,0,8,130,0,0,0,0,0,0,0,0,0,0,0,21,19,66,0,16,11,24,15,3,10,179,34,11,23,3,7,0,0,0,0,4,82,6,6,20,3,6,4,0,3,3,6,61,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,13,20,3,7,4,4,3,3,6,74,0,0,0,0,0,0,0,0,0,3,3,42,24,37,9,12,11,7,3,3,11,151,75,20,18,0,3,0,3,0,0,0,113,11,11,3,3,0,0,3,0,0,4,34,4,0,5,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,9,8,3,0,3,3,3,0,4,51,0,0,0,0,0,0,0,0,0,0,0,91,27,21,3,5,3,7,3,0,4,156,143,12,4,0,0,3,0,0,0,4,170,34,3,5,0
2003,421,60,98,75,60,78,39,16,991,0,0,0,0,0,0,0,0,0,0,0,192,132,505,91,144,106,71,112,57,28,1431,303,102,85,17,18,26,17,12,3,12,602,85,174,281,35,37,38,22,23,18,10,716,3,5,22,3,11,6,7,8,3,4,68,0,3,3,0,0,0,0,0,0,0,8,92,183,307,37,45,44,26,27,20,15,788,0,0,0,0,0,0,0,0,0,0,0,397,285,393,58,65,67,41,37,28,23,1394,609,79,55,8,19,3,7,8,3,25,804,155,88,81,17,7,6,9,3,5,5,370,9,16,19,4,3,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,159,101,103,18,6,10,7,5,10,6,431,0,0,0,0,0,0,0,0,0,0,0,770,184,152,26,28,13,12,13,11,39,1236,831,36,32,0,0,11,0,0,0,39,953,193,28,27,0
2004,401,68,56,78,81,75,42,19,932,0,0,0,0,0,0,0,0,0,0,0,162,113,467,83,68,101,87,94,54,38,1249,239,97,92,19,8,11,3,9,3,23,503,62,106,235,40,30,28,25,20,12,13,573,0,3,47,11,8,12,7,11,4,4,113,0,0,0,0,0,0,0,0,0,0,0,67,110,282,49,32,39,37,29,17,19,688,0,0,0,0,0,0,0,0,0,0,0,299,206,374,63,44,47,39,43,24,40,1191,494,41,54,3,7,4,3,4,3,25,637,90,69,74,5,7,7,6,8,5,7,284,15,8,45,0,5,12,9,9,5,7,107,3,0,4,0,0,0,0,0,0,0,10,110,76,120,10,21,23,14,14,10,9,400,0,0,0,0,0,0,0,0,0,0,3,598,123,172,16,26,29,16,18,15,35,1039,624,24,19,0,3,5,9,3,6,23,711,114,25,14,3
2005,34,18,11,11,7,7,0,5,110,0,0,0,0,0,0,0,0,0,0,0,18,29,44,20,12,14,12,8,0,5,152,17,7,5,4,0,3,3,0,0,3,47,6,24,27,5,3,9,3,5,0,5,85,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,25,35,6,3,6,3,5,0,5,96,0,0,0,0,0,0,0,0,0,0,0,31,31,37,12,3,8,5,5,0,8,146,43,4,3,0,0,0,3,0,0,3,54,7,13,7,3,0,3,0,0,0,3,37,0,3,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,14,11,3,0,7,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,49,16,8,4,3,7,3,0,3,3,103,77,3,3,0,0,0,0,0,0,6,96,10,0,0,0
2006,50,12,9,15,14,11,9,0,129,0,0,0,0,0,0,0,0,0,0,0,21,25,58,13,23,22,22,11,8,4,210,40,14,15,3,0,0,0,0,3,3,85,11,8,30,7,5,7,4,0,3,3,78,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,8,30,7,5,7,4,8,0,3,80,0,0,0,0,0,0,0,0,0,0,0,43,23,45,10,8,13,3,6,6,7,166,86,11,10,3,3,0,0,4,0,5,121,21,0,6,3,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,8,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,107,13,21,3,3,0,0,3,0,7,166,148,3,6,3,0,0,0,0,0,9,172,15,0,5,0
2007,1244,222,259,322,271,333,196,88,3471,0,0,3,0,0,0,0,0,0,78,88,824,453,1606,306,357,411,356,404,236,248,5201,1143,440,432,107,65,66,39,44,20,73,2425,462,370,767,103,124,101,65,75,33,37,2140,23,33,78,18,26,38,23,25,19,12,305,7,4,12,0,0,0,0,0,0,0,16,490,405,857,121,154,146,90,105,53,53,2464,3,0,0,0,0,0,0,0,0,71,77,1638,851,1289,227,215,208,129,145,75,195,4963,2454,305,327,49,25,26,26,11,8,73,3311,888,256,289,33,29,27,26,22,16,34,1629,95,28,69,10,25,31,15,25,14,13,326,13,0,3,0,0,0,0,0,0,6,19,1001,285,360,48,57,62,47,39,30,59,1976,3,0,0,0,0,0,0,0,0,43,49,3462,589,684,95,77,87,73,52,34,176,5331,3606,114,84,13,11,18,10,4,0,97,3951,1308,78,47,3
2008,13,4,0,4,0,7,0,3,43,0,0,0,0,0,0,0,0,0,0,0,45,16,39,4,7,0,5,3,3,6,127,132,64,51,19,4,0,0,6,0,6,275,27,13,15,3,3,7,3,3,0,0,77,3,3,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,29,18,20,3,7,7,9,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,159,80,65,17,5,11,10,6,0,6,361,338,62,37,4,0,3,5,0,0,14,457,56,3,18,0,0,0,0,0,0,3,81,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,52,4,18,3,0,0,0,0,0,3,87,0,0,0,0,0,0,0,0,0,0,0,393,66,55,6,3,3,4,0,0,18,544,380,21,12,0,0,0,0,0,0,12,420,71,0,0,0
2009,59,14,11,4,6,9,4,3,116,0,0,0,0,0,0,0,0,0,0,0,20,15,66,17,11,14,9,8,8,6,167,22,12,6,0,0,3,5,0,0,0,52,4,14,55,3,3,4,3,3,3,4,111,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,17,65,3,3,4,3,3,8,4,113,0,0,0,0,0,0,0,0,0,0,0,29,32,71,5,3,4,8,4,8,5,164,42,3,6,0,6,3,0,0,0,4,59,9,5,18,3,3,0,0,0,0,0,44,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,5,20,3,3,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,52,13,29,3,4,3,0,0,0,4,114,86,4,3,0,0,0,0,0,0,0,97,18,3,0,0
