SUA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
2000,335,324,570,846,1133,1017,460,159,37,4881,7972,9302,20275,26794,35798,29290,7457,1067,216,138178,1090,2000,4883,6290,8302,9291,6126,1955,331,40277,15,101,480,585,652,470,75,13,3,2400,1251,1952,3726,4884,6143,4766,966,83,17,23801,38,168,645,927,1306,1024,123,14,0,4252,1293,2786,5444,5597,6094,4620,953,92,30,26921,232,452,959,1278,1743,1343,344,38,12,6394,4325,2693,3646,4290,5604,4568,1184,124,25,26453,4310,2419,2700,2688,3196,2737,792,77,19,18944,150,462,1384,2260,3445,3431,1021,88,26,12257,91,162,298,481,577,540,127,13,4,2291,41,217,697,935,1114,688,194,22,3,3909,82,213,491,577,756,602,224,24,10,2983,186,529,1790,2518,2825,2376,947,110,12,11284,175,420,1135,1580,2178,1963,522,59,9,8042,209,661,2391,3771,5103,4016,676,47,12,16882,373,975,3369,5013,6340,5644,1042,67,24,22836,451,1955,5235,6752,10355,9939,1795,116,26,36628,346,416,692,913,1072,875,295,36,5,4669
2001,16,14,22,33,33,16,5,0,0,144,315,402,880,1004,1026,651,111,6,0,4393,8,19,25,35,46,31,17,3,0,181,0,4,13,22,25,13,3,0,0,75,33,36,88,174,167,126,14,0,0,642,0,6,20,25,32,14,4,0,0,108,78,153,309,263,222,122,18,3,0,1176,3,20,47,82,70,49,5,0,0,276,154,137,167,162,166,101,12,0,0,901,174,101,80,46,35,36,14,0,0,485,10,42,155,205,209,169,33,0,0,818,0,8,18,31,36,6,0,0,0,99,3,11,59,59,54,33,0,0,0,220,3,5,31,22,29,25,4,0,0,118,10,25,107,138,97,71,24,0,0,477,3,25,64,53,71,36,6,3,0,261,3,23,126,208,193,131,25,0,0,699,28,64,201,194,222,139,26,3,0,872,8,59,203,209,267,194,27,0,0,968,14,19,26,29,29,20,5,0,0,141
2002,9,3,12,10,15,18,8,3,0,76,181,264,513,517,692,545,101,21,4,2843,3,16,38,23,36,29,27,10,0,189,0,0,7,16,5,12,0,0,0,42,17,57,132,96,115,99,21,6,0,541,0,12,22,14,23,9,0,0,0,79,22,59,128,108,90,90,11,3,0,511,9,19,35,39,36,20,8,5,0,162,127,80,148,128,136,119,23,3,0,755,108,58,65,64,61,53,7,3,0,415,0,8,21,41,60,60,20,0,0,216,7,11,9,3,11,10,3,0,0,52,0,13,13,10,21,10,0,0,0,76,0,7,9,9,11,19,9,0,0,69,3,18,40,41,51,43,22,3,0,223,6,13,27,40,43,32,12,3,0,176,3,13,64,64,67,50,14,0,0,277,11,23,93,98,124,108,25,3,0,484,11,71,152,162,249,213,43,6,0,905,3,6,15,12,11,10,0,0,0,59
2003,47,51,78,101,119,88,30,11,3,525,1426,2438,4477,4505,4747,3361,586,45,15,21605,23,60,102,101,116,73,61,26,0,550,3,18,89,93,90,41,0,0,0,324,145,247,602,863,919,599,83,3,3,3462,7,25,81,102,114,74,8,0,0,405,181,575,1124,745,695,481,77,3,3,3898,40,70,164,206,227,139,40,6,0,892,714,891,1020,793,812,594,140,9,3,4984,993,775,585,417,347,231,59,3,3,3415,19,69,271,290,379,355,107,15,0,1510,33,87,255,223,179,99,22,0,0,906,0,57,173,178,203,118,24,3,0,761,7,64,130,103,110,79,32,3,0,531,32,238,631,597,455,296,103,13,0,2352,22,97,209,224,270,215,37,13,0,1085,29,122,582,708,674,481,80,5,3,2683,80,315,981,1151,1189,925,172,4,0,4822,67,579,1674,1616,1767,1471,231,14,3,7425,85,159,190,148,140,102,45,5,0,887
2004,44,56,89,107,87,86,34,9,3,513,1397,2369,4344,4083,4353,3330,566,45,20,20500,23,65,164,140,142,141,57,18,0,749,4,55,187,157,141,51,5,0,0,611,164,456,838,679,763,548,82,9,0,3550,3,27,139,111,155,87,15,0,0,523,135,515,1058,745,667,464,80,10,0,3667,24,70,148,162,166,108,21,4,0,697,739,907,927,775,782,599,142,21,0,4892,949,699,517,326,281,206,40,3,0,3028,21,62,171,255,366,345,99,3,4,1331,17,52,130,118,98,65,17,0,0,496,11,111,437,496,374,202,38,0,0,1672,9,34,107,87,101,80,25,3,0,448,32,138,461,427,329,268,72,8,0,1735,23,89,235,247,286,247,46,8,3,1185,16,113,477,611,661,520,87,11,3,2494,65,262,802,890,919,714,133,9,3,3796,99,587,1582,1435,1661,1504,237,20,3,7121,65,96,103,101,95,84,32,7,0,585
2005,4,5,18,17,16,15,3,3,7,89,191,240,463,462,579,471,88,11,6,2512,7,29,48,31,55,49,28,11,0,252,0,0,3,3,3,3,0,0,0,12,67,155,241,209,183,107,16,0,3,977,0,0,13,7,18,7,0,0,0,54,28,56,95,59,60,54,9,7,0,372,5,14,12,26,21,24,0,0,0,106,88,64,96,110,110,103,18,3,0,592,125,55,54,43,54,41,3,0,0,372,4,14,31,42,47,46,26,0,0,216,8,5,22,16,15,4,4,0,0,75,3,4,16,22,21,7,0,0,0,72,0,7,6,8,16,6,3,0,0,38,5,9,42,30,38,32,5,3,0,158,3,10,28,46,34,36,13,3,0,174,0,8,49,56,79,83,5,0,0,280,5,16,64,66,84,100,20,4,0,357,8,44,119,132,213,175,36,6,0,732,12,8,9,8,8,6,3,0,0,50
2006,10,12,15,26,43,34,9,0,0,148,319,326,831,892,1064,795,151,18,3,4397,7,9,57,65,64,67,31,11,0,315,0,0,10,11,3,8,0,0,0,32,45,76,179,215,245,172,19,3,0,954,0,8,16,18,24,8,5,0,0,78,48,96,180,160,183,128,22,0,0,823,3,7,33,42,57,37,15,4,0,202,172,87,195,184,200,152,39,3,0,1027,219,125,183,151,199,154,30,5,3,1068,8,13,37,57,101,79,46,0,0,337,14,0,10,4,5,13,0,0,0,58,0,9,26,33,44,22,5,5,0,140,3,6,10,20,20,17,6,0,0,92,9,18,59,67,67,44,11,3,0,285,3,18,24,48,61,41,12,3,0,213,3,7,66,93,119,91,14,0,0,401,24,21,148,174,162,142,17,3,0,698,11,70,241,250,298,305,59,0,0,1235,26,19,30,32,19,21,6,0,0,164
2007,112,165,277,313,330,229,84,18,9,1544,3404,5415,11228,11707,12256,8535,1581,118,26,54266,37,99,189,228,264,215,121,45,8,1203,3,8,80,76,85,63,10,0,0,332,309,633,1518,1908,2117,1443,218,23,3,8176,12,89,348,347,339,209,31,0,0,1366,411,1302,3029,2587,2061,1375,237,26,5,11034,78,227,499,633,637,475,92,9,4,2646,1677,2227,2745,2260,2155,1535,329,30,3,12959,2456,1784,1368,977,829,584,186,15,3,8190,65,237,818,984,1210,1011,241,9,4,4568,80,124,286,327,286,186,31,3,0,1316,15,167,832,896,797,387,82,17,3,3198,22,141,326,340,302,244,87,15,0,1475,62,388,1378,1706,1398,989,320,37,4,6290,53,212,598,762,879,638,199,11,0,3358,54,297,1323,1784,1981,1282,232,24,0,6976,161,599,2338,2713,2752,2235,376,24,0,11193,170,1168,3620,3685,4203,3365,600,34,5,16845,242,292,340,384,312,240,97,8,0,1922
2008,11,8,21,45,47,25,11,0,0,167,265,357,726,1128,1301,765,169,5,4,4721,3,10,19,27,25,19,20,3,0,132,0,3,3,3,8,4,0,0,0,18,37,51,75,161,201,122,27,3,0,668,3,7,12,25,35,21,0,0,0,103,56,115,270,286,298,151,31,3,0,1216,9,13,27,62,88,40,13,0,0,251,152,101,85,122,154,112,39,0,0,772,155,103,31,62,52,37,6,0,0,449,6,34,80,177,245,149,44,0,0,730,3,10,17,37,37,25,6,0,0,135,3,19,63,120,114,47,12,0,0,378,5,10,23,49,37,26,13,0,0,151,3,34,108,195,180,145,46,3,0,712,9,22,36,86,82,46,27,5,0,321,7,29,114,185,240,157,20,3,0,768,18,49,164,245,301,243,42,3,0,1061,11,63,171,245,311,204,49,0,0,1048,27,19,35,44,44,32,12,0,0,204
2009,9,7,19,11,22,18,10,5,0,93,240,356,716,682,789,672,129,15,9,3610,0,26,42,41,66,56,56,22,4,324,0,0,16,7,4,5,0,0,0,31,14,30,51,61,54,41,8,0,0,257,0,11,44,28,37,24,5,0,0,150,45,84,172,133,128,88,28,3,0,683,4,17,47,63,55,50,13,0,0,254,127,120,171,159,190,161,23,4,0,958,167,72,100,55,75,58,15,0,0,536,0,13,39,63,80,85,22,4,0,305,3,16,25,15,13,14,4,0,0,93,3,22,34,41,34,16,3,0,0,155,3,7,12,22,11,12,5,0,0,76,6,20,59,68,56,44,10,3,0,269,3,22,36,51,55,53,14,0,0,226,10,28,85,87,125,90,16,0,0,444,7,32,145,110,136,122,25,0,0,582,29,114,277,241,283,294,39,0,3,1287,13,13,13,27,20,22,7,0,0,117
